ticker,ETAH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-03-08,0.0
2010-03-09,95.0
2010-03-10,-30.7692
2010-03-16,-14.8148
2010-03-17,8.6957
2010-03-25,4.0
2012-01-23,-80.7692
2012-01-24,20.0
2012-01-26,33.3333
2012-02-01,12.5
2012-02-03,11.1111
2012-02-15,0.0
2012-02-21,0.0
2012-03-12,0.0
2012-03-13,0.0
2012-03-22,-10.0
2012-03-26,11.1111
2012-03-28,2.0
2012-04-16,-6.8627
2012-04-19,6.3158
2012-04-20,-0.9901
2012-04-23,5.0
2012-05-10,1.9048
2012-06-14,2.8037
2012-09-19,0.0
2012-09-20,0.0
2012-09-21,0.0
2012-09-24,0.0
2012-09-26,0.0
2012-09-27,0.0
2012-10-11,-8.1818
2012-10-12,-5.9406
2012-10-17,0.0
2012-10-19,-10.526299999999999
2012-10-25,-11.7647
2012-12-03,0.0
2013-01-02,6.6667
2013-02-07,2.5
2013-04-02,-2.439
2013-04-17,-37.5
2013-04-18,4.0
2013-04-19,-3.8462
2013-04-23,10.0
2013-04-24,0.0
2013-05-15,9.0909
2013-06-03,0.0
2013-06-04,0.0
2013-06-13,-8.3333
2013-06-26,0.0
2013-07-15,9.0909
2013-08-15,1.6667
2013-08-20,-1.6393
2013-08-22,-8.3333
2013-08-27,9.0909
2013-08-28,0.0
2013-08-30,0.0
2013-09-03,3.3333
2013-09-04,1.6129
2013-09-05,0.0
2013-09-06,0.0
2013-09-17,0.0
2013-10-30,3.1746
2013-10-31,0.0
2013-11-04,0.0
2014-01-10,0.0
2014-01-24,36.9231
2014-01-28,-1.1236
2014-01-29,-3.4091
2014-01-30,0.0
2014-01-31,0.0
2014-02-03,3.5294
2014-02-04,0.0
2014-02-05,0.0
2014-02-06,-6.8182
2014-02-07,7.3171
2014-02-10,0.0
2014-02-11,15.9091
2014-02-12,3.9215999999999998
2014-02-13,7.5472
2014-02-14,-21.9298
2014-02-18,-4.4944
2014-02-19,1.7647
2014-02-20,-7.5145
2014-02-21,-23.75
2014-02-24,-26.2295
2014-02-25,-7.1528
2014-02-26,-16.2304
2014-02-27,31.4286
2014-02-28,32.6087
2014-03-03,13.1148
2014-03-04,-1.4493
2014-03-05,-11.7647
2014-03-06,-12.6042
2014-03-07,-8.4625
2014-03-10,27.0833
2014-03-11,-18.0328
2014-03-12,-4.0
2014-03-13,-10.4167
2014-03-14,0.0
2014-03-17,4.6512
2014-03-18,17.7778
2014-03-19,-8.9387
2014-03-20,3.6001
