ticker,MGY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-06-30,0.6
2017-07-07,-2.1869
2017-07-13,0.1016
2017-07-17,0.5076
2017-07-20,0.0
2017-07-21,0.0
2017-08-07,-0.202
2017-08-15,-1.8218999999999999
2017-08-16,1.0309
2017-08-17,0.0
2017-08-18,0.0
2017-08-21,0.0
2017-08-23,-0.001
2017-08-24,0.001
2017-08-28,-0.2265
2017-08-31,0.5881
2017-09-01,-0.2654
2017-09-05,0.4159
2017-09-06,-0.3553
2017-09-07,0.3566
2017-09-08,0.0
2017-09-12,-0.5584
2017-09-13,0.051
2017-09-14,0.0
2017-09-15,0.0
2017-09-19,0.3061
2017-09-21,-0.1943
2017-09-26,-0.3945
2017-10-03,-0.7378
2017-10-05,1.3392
2017-10-06,0.3052
2017-10-11,-0.0101
2017-10-16,0.4159
2017-10-17,-1.0101
2017-10-18,1.0204
2017-10-19,-0.7071
2017-10-23,0.3052
2017-10-24,-0.6085
2017-10-26,-0.3061
2017-10-31,-0.1024
2017-11-01,-0.0205
2017-11-06,-0.2869
2017-11-10,-0.1028
2017-11-14,0.0
2017-11-16,1.3344
2017-11-17,-1.5198
2017-11-20,0.0
2017-11-21,0.2062
2017-11-28,-0.3086
2017-11-30,-0.1032
2017-12-01,0.4132
2017-12-04,0.1975
2017-12-06,0.0082
2017-12-07,-0.2053
2017-12-11,0.0
2017-12-12,0.2058
2017-12-13,0.0
2017-12-14,0.1027
2017-12-15,0.0
2017-12-18,0.0
2017-12-19,-0.1026
2017-12-20,-0.1027
2017-12-29,0.1028
2018-01-03,-0.1027
2018-01-04,0.7194
2018-01-05,-0.4082
2018-01-09,0.1025
2018-01-12,-0.2047
2018-01-16,0.3077
2018-01-17,-0.409
2018-01-19,0.2053
2018-01-22,-0.3074
2018-01-24,0.0
2018-01-26,0.0
2018-02-02,0.2055
2018-02-05,0.0
2018-02-06,-0.2051
2018-02-08,-0.3083
2018-02-09,0.0
2018-02-12,0.1031
2018-02-13,-0.103
2018-02-14,0.0
2018-02-15,-0.1031
2018-02-21,0.3096
2018-02-26,0.0
2018-02-27,0.0
2018-02-28,0.2058
2018-03-01,0.1027
2018-03-19,-0.2051
2018-03-20,4.4193
2018-03-21,0.1969
2018-03-22,-0.2947
2018-03-23,-0.197
2018-03-26,0.1974
2018-03-27,-0.2956
2018-03-28,-0.2964
2018-03-29,0.1982
2018-04-02,-0.0989
2018-04-03,-0.297
2018-04-04,0.1986
2018-04-05,-0.0991
