ticker,CHPM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-01-13,-0.303
2020-01-16,0.304
2020-01-17,0.202
2020-01-21,0.7056
2020-01-22,-0.7007
2020-02-04,-0.2016
2020-02-05,0.404
2020-02-07,0.1006
2020-02-10,0.0
2020-02-11,0.1005
2020-02-12,0.3012
2020-02-14,0.0
2020-02-18,0.3003
2020-02-19,0.0
2020-02-21,-0.1996
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,-0.2
2020-03-02,-0.6012
2020-03-04,0.3024
2020-03-05,-0.3015
2020-03-06,-1.1089
2020-03-09,-0.3058
2020-03-10,1.227
2020-03-11,-0.404
2020-03-12,-0.6592
2020-03-13,-1.123
2020-03-16,-1.9102000000000001
2020-03-18,-0.5263
2020-03-19,0.5291
2020-03-20,-1.0526
2020-03-23,1.383
2020-03-24,1.9937
2020-03-25,-2.2634
2020-03-26,2.8421
2020-03-30,-0.7165
2020-03-31,0.0
2020-04-01,1.3402
2020-04-14,0.0
2020-04-16,-1.3225
2020-04-20,0.0
2020-04-21,1.3402
2020-04-22,-0.5086
2020-04-24,0.2045
2020-04-27,0.102
2020-04-28,-0.3058
2020-04-29,-0.1022
2020-05-06,0.0
2020-05-14,-0.5107
2020-05-27,0.822
2020-05-28,-0.102
2020-05-29,-0.1021
2020-06-01,0.3067
2020-06-04,-0.5097
2020-06-05,-0.1025
2020-06-08,0.5128
2020-06-10,0.0
2020-06-11,-0.4082
2020-06-12,0.2049
2020-06-16,-0.1022
2020-06-17,1.3306
2020-06-18,-0.9091
2020-06-19,0.9174
2020-06-22,-0.303
2020-06-23,0.304
2020-06-24,0.0
2020-06-25,0.0
2020-06-26,0.0
2020-06-29,1.0101
2020-06-30,-0.4
2020-07-01,-0.1004
2020-07-06,-0.1005
2020-07-07,0.0996
2020-07-08,-0.2
2020-07-09,0.7049
2020-07-10,2.0
2020-07-13,-0.8824
2020-07-14,0.6924
2020-07-15,2.0619
2020-07-16,0.0972
2020-07-17,1.0577
2020-07-20,0.333
2020-07-21,-0.4267
2020-07-22,-0.7143
2020-07-24,-0.2398
2020-07-27,-0.0962
2020-07-28,-0.8662
2020-07-29,0.0971
2020-07-30,-0.582
2020-07-31,0.4878
