ticker,EIC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-07-24,-1.7094
2019-07-25,1.023
2019-07-26,-0.2025
2019-07-29,0.6088
2019-07-30,0.353
2019-07-31,0.0754
2019-08-01,2.1341
2019-08-02,-1.4258
2019-08-05,-0.4808
2019-08-06,-0.3689
2019-08-07,0.6539
2019-08-08,0.5782
2019-08-09,0.2201
2019-08-12,-0.298
2019-08-13,0.9453
2019-08-14,-0.7389
2019-08-15,-1.7136
2019-08-16,2.6952
2019-08-19,0.1011
2019-08-20,-0.9406
2019-08-21,-0.1499
2019-08-22,0.8509
2019-08-23,-0.5687
2019-08-26,-0.7756
2019-08-27,-1.5594000000000001
2019-08-28,1.6863000000000001
2019-08-29,0.5025
2019-08-30,-1.25
2019-09-03,1.2658
2019-09-04,-0.9
2019-09-05,0.0
2019-09-06,0.0
2019-09-09,0.6559
2019-09-10,0.3008
2019-09-11,0.1629
2019-09-13,-0.0502
2019-09-16,-0.2513
2019-09-17,-0.9572
2019-09-18,0.2543
2019-09-19,-0.8118
2019-09-20,-0.1535
2019-09-23,-0.1025
2019-09-24,0.0
2019-09-25,-0.5128
2019-09-26,-0.0515
2019-09-27,-0.4642
2019-09-30,0.2591
2019-10-01,1.292
2019-10-02,-0.5102
2019-10-03,1.3333
2019-10-04,-0.1665
2019-10-07,-0.3908
2019-10-08,-0.5598
2019-10-09,-0.87
2019-10-10,2.3882
2019-10-11,-0.2538
2019-10-14,-0.2545
2019-10-15,-0.3316
2019-10-16,-1.1518
2019-10-17,1.0357
2019-10-21,-0.8713
2019-10-22,-1.3444
2019-10-23,0.1048
2019-10-24,-0.1047
2019-10-25,-0.1572
2019-10-28,-0.4199
2019-10-29,0.1054
2019-10-30,0.0
2019-10-31,0.0527
2019-11-01,0.2105
2019-11-04,-0.7353
2019-11-05,0.6349
2019-11-06,-0.0526
2019-11-07,-0.2841
2019-11-08,0.4041
2019-11-11,0.2646
2019-11-12,-0.7916
2019-11-13,-0.9574
2019-11-14,-0.3222
2019-11-15,-0.9698
2019-11-18,0.1088
2019-11-19,0.2565
2019-11-20,-0.8522
2019-11-21,1.0935
2019-11-22,-0.7572
2019-11-25,0.4905
2019-11-26,-0.7592
2019-11-27,-0.2732
2019-11-29,0.5479
2019-12-02,0.0
2019-12-03,0.1095
2019-12-04,0.3261
2019-12-05,-0.1628
2019-12-06,-0.7609
2019-12-09,0.8921
2019-12-10,0.4674
2019-12-11,-1.7635
2019-12-12,0.6089
2019-12-13,0.2208
