ticker,MSGE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-04-13,-9.3323
2020-04-14,-6.3053
2020-04-15,1.0773
2020-04-16,-1.8420999999999998
2020-04-17,-8.7668
2020-04-20,-4.0112
2020-04-21,-1.6531
2020-04-22,7.7043
2020-04-23,10.6503
2020-04-24,4.4534
2020-04-27,2.2756
2020-04-28,0.0978
2020-04-29,4.1158
2020-04-30,-2.9912
2020-05-01,-3.6518
2020-05-04,1.9202
2020-05-05,-1.7854999999999999
2020-05-06,0.2257
2020-05-07,-1.9014
2020-05-08,1.7598
2020-05-11,-4.01
2020-05-12,-3.3681
2020-05-13,-1.2969
2020-05-14,2.7375
2020-05-15,4.5697
2020-05-18,-1.3505
2020-05-19,-0.2454
2020-05-20,-1.45
2020-05-21,-2.1282
2020-05-22,1.2886
2020-05-26,-0.9144
2020-05-27,-0.8292
2020-05-28,6.6082
2020-05-29,0.2277
2020-06-01,1.035
2020-06-02,-3.8101000000000003
2020-06-03,1.4156
2020-06-04,3.7265
2020-06-05,1.2099
2020-06-08,-0.6709
2020-06-09,-0.9947
2020-06-10,-1.5381
2020-06-11,-7.4074
2020-06-12,1.8639000000000001
2020-06-15,-0.788
2020-06-16,-0.3231
2020-06-17,3.6737
2020-06-18,2.6837
2020-06-19,-0.5963
2020-06-22,-4.8117
2020-06-23,0.8313
2020-06-24,-2.1809
2020-06-25,-1.1963
2020-06-26,-0.2064
2020-06-29,3.5434
2020-06-30,-0.1332
2020-07-01,-0.1733
2020-07-02,-2.698
2020-07-06,2.512
2020-07-07,-1.1918
2020-07-08,0.6912
2020-07-09,-2.8937
2020-07-10,-1.2335
2020-07-13,-0.2807
2020-07-14,-0.0281
2020-07-15,5.6447
2020-07-16,1.5323
2020-07-17,-1.5748
2020-07-20,-1.2
2020-07-21,-1.8893
2020-07-22,-1.3205
2020-07-23,1.0594
2020-07-24,3.2828
2020-07-27,-1.0684
2020-07-28,0.3375
2020-07-29,-1.5875
2020-07-30,-3.1989
2020-07-31,0.0706
