ticker,OCNB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-10-15,-44.3069
2014-11-18,127.7778
2016-12-05,19.2114
2017-03-02,0.0
2017-03-13,6.383
2017-04-06,-6.0
2017-10-31,3.7513
2017-11-09,-2.4793
2017-11-15,14.4068
2017-12-04,47.7778
2018-01-10,-30.7706
2018-03-07,-12.7273
2018-08-15,21.7464
2018-08-24,3.4483
2018-12-24,12.6836
2018-12-27,-10.7887
2018-12-28,-4.9208
2019-08-26,1.0065
2019-09-06,-0.6993
2019-09-18,2.1127
2019-09-25,-7.5344999999999995
2019-09-26,0.0
2019-10-09,8.1484
2019-12-17,-0.0312
2020-03-18,-7.9861
2020-03-23,-5.6604
2020-04-23,-2.0
2020-05-22,-1.2245
2020-05-29,0.0
2020-06-05,0.8123
2020-06-18,-0.8264
2020-06-19,2.0833
2020-07-07,-2.449
2020-07-28,0.4184
