ticker,CEQP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2001-07-26,6.8182
2001-07-27,2.1702
2001-07-30,-0.0416
2001-07-31,-1.6667
2001-08-01,-1.3982999999999999
2001-08-02,-3.0941
2001-08-03,-1.3304
2001-08-06,-0.2247
2001-08-07,1.3514
2001-08-08,-0.4
2001-08-09,0.6247
2001-08-10,-0.4435
2001-08-13,2.4499
2001-08-14,0.0
2001-08-15,1.3043
2001-08-16,3.0043
2001-08-17,-0.6667
2001-08-20,1.5101
2001-08-21,7.0248
2001-08-22,-0.9653
2001-08-23,3.3138
2001-08-24,-1.8868
2001-08-27,1.9231
2001-08-28,0.3774
2001-08-29,0.7519
2001-08-30,-0.1866
2001-08-31,-0.5607
2001-09-04,2.4436
2001-09-05,-1.2844
2001-09-06,-0.5576
2001-09-07,-0.9346
2001-09-10,-0.7547
2001-09-17,2.6616
2001-09-18,1.6667
2001-09-19,-1.6393
2001-09-20,-4.8148
2001-09-21,-4.0467
2001-09-24,4.6229
2001-09-25,-5.0388
2001-09-26,2.0408
2001-09-27,0.8
2001-09-28,2.9762
2001-10-01,-3.6609
2001-10-02,8.0
2001-10-03,-0.3704
2001-10-04,2.2305
2001-10-05,0.9091
2001-10-08,0.1802
2001-10-09,-2.8777
2001-10-10,1.1111
2001-10-11,2.5641
2001-10-12,-1.7856999999999998
2001-10-15,-1.8182
2001-10-16,2.0741
2001-10-17,-0.5806
2001-10-18,0.1825
2001-10-19,0.1821
2001-10-22,0.0
2001-10-23,-2.7273
2001-10-24,-1.3832
2001-10-25,-2.9568
2001-10-26,2.7344
2001-10-29,4.5626999999999995
2001-10-30,-2.7273
2001-10-31,-1.6822
2001-11-01,2.6616
2001-11-02,1.8519
2001-11-05,0.5455
2001-11-06,-0.7339
2001-11-07,-0.1848
2001-11-08,1.8519
2001-11-09,2.7273
2001-11-12,-1.7345000000000002
2001-11-13,-2.5576
2001-11-14,-0.1848
2001-11-15,-0.9259
2001-11-16,-1.4953
2001-11-19,0.5693
2001-11-20,1.8868
2001-11-21,-0.7407
2001-11-23,0.0
2001-11-26,1.8657
2001-11-27,-1.0989
2001-11-28,-0.3704
2001-11-29,-0.3717
2001-11-30,0.3731
2001-12-03,0.3555
2001-12-04,-1.9100000000000001
2001-12-05,0.1511
2001-12-06,-5.3544
2001-12-07,-0.1992
2001-12-10,0.5988
2001-12-11,-6.746
2001-12-12,5.9574
2001-12-13,1.4056
2001-12-14,-3.9604
2001-12-17,1.0309
2001-12-18,0.6939
