ticker,LMNX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-03-30,34.5588
2000-03-31,-5.4645
2000-04-03,-6.9364
2000-04-04,-15.2174
2000-04-05,34.0659
2000-04-06,-10.929
2000-04-07,1.6871
2000-04-10,-3.1673999999999998
2000-04-11,-7.7882
2000-04-12,-14.1892
2000-04-13,1.9685000000000001
2000-04-14,-7.3359
2000-04-17,5.0
2000-04-18,4.7619
2000-04-19,13.2576
2000-04-20,0.0
2000-04-24,1.6722000000000001
2000-04-25,1.3158
2000-04-26,-5.8442
2000-04-27,-3.1034
2000-04-28,6.0498
2000-05-01,20.1342
2000-05-02,-1.1173
2000-05-03,-4.5198
2000-05-04,1.1834
2000-05-05,-0.5848
2000-05-08,2.9412000000000003
2000-05-09,-0.5714
2000-05-10,-1.4368
2000-05-11,2.6239
2000-05-12,6.25
2000-05-15,5.8824
2000-05-16,16.9192
2000-05-17,10.1512
2000-05-18,-9.0196
2000-05-19,13.7931
2000-05-22,-1.5152
2000-05-23,-5.9615
2000-05-24,-1.6360000000000001
2000-05-25,-2.2869
2000-05-26,-4.2553
2000-05-30,-2.6667
2000-05-31,12.3288
2000-06-01,-3.6585
2000-06-02,-3.7975
2000-06-05,-3.7281
2000-06-06,12.9841
2000-06-07,-2.0161
2000-06-08,0.6173
2000-06-09,5.1125
2000-06-12,-4.2802
2000-06-13,-4.878
2000-06-14,-2.9915000000000003
2000-06-15,15.859
2000-06-16,-0.3802
2000-06-19,7.2519
2000-06-20,16.3701
2000-06-21,-2.1407
2000-06-22,-8.125
2000-06-23,5.6122
2000-06-26,-1.7713
2000-06-27,1.6393
2000-06-28,-4.5161
2000-06-29,5.4054
2000-06-30,6.7308
2000-07-03,-1.8018
2000-07-05,2.1407
2000-07-06,-3.8922
2000-07-07,12.1495
2000-07-10,19.4444
2000-07-11,-4.4186
2000-07-12,20.3163
2000-07-13,-9.5046
2000-07-14,-14.1899
2000-07-17,-1.3021
2000-07-18,-12.1372
2000-07-19,7.1697
2000-07-20,2.8371
2000-07-21,2.4523
2000-07-24,0.9309
2000-07-25,-5.1383
2000-07-26,-5.1389
2000-07-27,-8.6384
2000-07-28,-6.0897
2000-07-31,-1.0239
2000-08-01,-1.7241
2000-08-02,2.807
2000-08-03,1.3652
2000-08-04,0.6734
2000-08-07,4.6823
2000-08-08,6.7093
2000-08-09,-1.7964
2000-08-10,4.2683
2000-08-11,0.2924
2000-08-14,-5.2478
2000-08-15,-3.3846
2000-08-16,2.707
