ticker,RMR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-12-15,9.3356
2015-12-16,2.1538
2015-12-17,8.7349
2015-12-18,16.0665
2015-12-21,-16.1695
2015-12-22,-5.1957
2015-12-23,0.8258
2015-12-24,0.1489
2015-12-28,3.9405
2015-12-29,3.0043
2015-12-30,0.2778
2015-12-31,-0.2078
2016-01-04,8.7439
2016-01-05,0.9572
2016-01-06,0.9482
2016-01-07,-1.6280999999999999
2016-01-08,1.0821
2016-01-11,3.4635
2016-01-12,4.6257
2016-01-13,3.6067
2016-01-14,12.9141
2016-01-15,-4.5251
2016-01-19,0.8854
2016-01-20,-1.9618
2016-01-21,0.158
2016-01-22,13.0915
2016-01-25,0.5579
2016-01-26,3.6523
2016-01-27,-6.2444
2016-01-28,-1.9029
2016-01-29,1.1154
2016-02-01,-4.3645
2016-02-02,-4.7141
2016-02-03,4.0526
2016-02-04,7.5367
2016-02-05,2.3048
2016-02-08,-0.2299
2016-02-09,-1.2903
2016-02-10,-0.4669
2016-02-11,-2.2045
2016-02-12,-2.2062
2016-02-16,1.4713
2016-02-17,5.3166
2016-02-18,1.4686
2016-02-19,4.1158
2016-02-22,3.1277
2016-02-23,-0.337
2016-02-24,-2.4937
2016-02-25,0.5202
2016-02-26,-0.4312
2016-02-29,-2.2954
2016-03-01,2.7481999999999998
2016-03-02,0.6903
2016-03-03,2.6135
2016-03-04,-1.0021
2016-03-07,-2.6993
2016-03-08,0.8669
2016-03-09,0.0
2016-03-10,1.4181
2016-03-11,1.2711999999999999
2016-03-14,-0.0837
2016-03-15,-0.1256
2016-03-16,0.4193
2016-03-17,3.8413
2016-03-18,0.0402
2016-03-21,-1.0048
2016-03-22,-0.6902
2016-03-23,-0.3679
2016-03-24,-0.041
2016-03-28,1.7652
2016-03-29,0.7664
2016-03-30,0.2402
2016-03-31,-0.1198
2016-04-01,-3.8784
2016-04-04,0.0832
2016-04-05,1.3716
2016-04-06,-0.287
2016-04-07,-0.6579
2016-04-08,-0.1242
2016-04-11,3.191
2016-04-12,-0.4418
2016-04-13,1.1698
2016-04-14,0.6778
2016-04-15,-2.099
2016-04-18,-0.89
2016-04-19,1.4694
2016-04-20,-0.4023
2016-04-21,-1.8203
2016-04-22,4.1649
2016-04-25,0.0
2016-04-26,1.8792
2016-04-27,-0.9419
2016-04-28,-0.3566
2016-04-29,-0.9145
2016-05-02,3.6917999999999997
2016-05-03,0.0774
2016-05-04,-0.1933
2016-05-05,0.0
2016-05-06,0.2712
