ticker,APTX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-06-21,26.25
2018-06-22,-0.9901
2018-06-25,-0.85
2018-06-26,0.8573
2018-06-27,11.2
2018-06-28,5.2608
2018-06-29,3.2465
2018-07-02,-0.7034
2018-07-03,4.25
2018-07-05,-2.6379
2018-07-06,-3.5304
2018-07-09,2.4255
2018-07-10,-0.7894
2018-07-11,-6.742
2018-07-12,-6.0171
2018-07-13,0.6689
2018-07-16,-0.2848
2018-07-17,-2.7606
2018-07-18,1.7132
2018-07-19,-2.0693
2018-07-20,-0.688
2018-07-23,4.7996
2018-07-24,2.3607
2018-07-25,-0.7841
2018-07-26,2.7429
2018-07-27,1.81
2018-07-30,-2.2222
2018-07-31,-0.3636
2018-08-01,1.9617
2018-08-02,-1.3423
2018-08-03,0.0
2018-08-06,0.5896
2018-08-07,-0.8566
2018-08-08,1.7734999999999999
2018-08-09,-1.3405
2018-08-10,-0.5888
2018-08-13,2.5057
2018-08-14,-1.6444
2018-08-15,3.7054
2018-08-16,3.0065
2018-08-17,-3.511
2018-08-20,1.5344
2018-08-21,0.1727
2018-08-22,0.431
2018-08-23,-0.0429
2018-08-24,0.2147
2018-08-27,-0.8141
2018-08-28,0.216
2018-08-29,0.0431
2018-08-30,2.1973
2018-08-31,1.0961
2018-09-04,6.7973
2018-09-05,14.3694
2018-09-06,-5.4285
2018-09-07,1.083
2018-09-10,13.75
2018-09-11,-5.9969
2018-09-12,0.7014
2018-09-13,-0.2322
2018-09-14,-0.1662
2018-09-17,-6.3936
2018-09-18,2.3835
2018-09-19,-3.7179
2018-09-20,-1.0105
2018-09-21,-2.6978
2018-09-24,-1.124
2018-09-25,7.8439
2018-09-26,-0.9487
2018-09-27,1.8446
2018-09-28,0.8708
2018-10-01,-0.8633
2018-10-02,0.5921
2018-10-03,0.1731
2018-10-04,-3.2492
2018-10-05,-3.0725
2018-10-08,-2.9488
2018-10-09,4.0258
2018-10-10,1.5333999999999999
2018-10-11,-8.7019
2018-10-12,3.8204000000000002
2018-10-15,-2.2762000000000002
2018-10-16,3.6102
2018-10-17,1.6111
2018-10-18,-2.8392
2018-10-19,-0.9867
2018-10-22,0.1533
2018-10-23,0.7654
2018-10-24,-2.8105
2018-10-25,3.3607
2018-10-26,-1.966
2018-10-29,-4.5121
2018-10-30,3.8772
2018-10-31,1.2442
2018-11-01,1.6129
2018-11-02,-1.096
2018-11-05,-1.1464
2018-11-06,-1.005
2018-11-07,0.6248
2018-11-08,3.2208
