ticker,PATI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-02-03,8.6957
2015-02-04,-4.0
2015-02-05,2.9167
2015-02-06,-2.6316
2015-02-09,9.5218
2015-02-10,-3.1891
2015-02-11,0.2353
2015-02-12,0.7825
2015-02-13,-1.8634
2015-02-17,-0.5934
2015-02-18,2.9447
2015-02-19,-12.6015
2015-02-20,2.6095
2015-02-23,-4.3103
2015-02-24,-0.9009
2015-02-25,-0.5
2015-02-26,0.2741
2015-02-27,2.6424
2015-03-02,2.9294000000000002
2015-03-03,-3.536
2015-03-04,0.5364
2015-03-05,0.0445
2015-03-06,-2.2667
2015-03-09,6.8668
2015-03-10,-0.4255
2015-03-11,2.265
2015-03-12,3.3849
2015-03-13,-3.557
2015-03-16,3.8558
2015-03-17,0.1614
2015-03-18,-2.5786
2015-03-19,3.2672
2015-03-20,-8.0497
2015-03-23,5.5748999999999995
2015-03-24,-0.8663
2015-03-25,0.7907
2015-03-26,-0.0413
2015-03-27,3.0979
2015-03-30,-0.8413
2015-03-31,0.8889
2015-04-01,0.0801
2015-04-02,-1.4806
2015-04-06,6.1332
2015-04-07,-1.9518
2015-04-08,1.3660999999999999
2015-04-09,0.077
2015-04-10,0.0
2015-04-13,1.0389
2015-04-14,-0.7235
2015-04-15,-0.0384
2015-04-16,-0.4221
2015-04-17,0.0385
2015-04-20,0.6163
2015-04-21,-0.6508
2015-04-22,0.1541
2015-04-23,-0.0385
2015-04-24,0.0385
2015-04-27,0.0
2015-04-28,0.0
2015-04-29,-0.3078
2015-04-30,-0.386
2015-05-01,-2.5183999999999997
2015-05-04,0.9141
2015-05-05,0.6302
2015-05-06,-2.1135
2015-05-07,2.1991
2015-05-08,-1.7214
2015-05-11,2.508
2015-05-12,-0.7379
2015-05-13,0.5282
2015-05-14,0.253
2015-05-15,-0.8929
2015-05-18,0.0
2015-05-19,-0.1175
2015-05-20,1.6863000000000001
2015-05-21,-1.6583
2015-05-22,-0.7843
2015-05-26,-0.1976
2015-05-27,1.7426
2015-05-28,-0.1557
2015-05-29,0.5458
2015-06-01,-0.1551
2015-06-02,0.5437
2015-06-03,-0.2704
2015-06-04,-0.2711
2015-06-05,0.5049
2015-06-08,1.4297
2015-06-09,-0.7238
2015-06-10,0.1535
2015-06-11,-2.2989
2015-06-12,0.3137
2015-06-15,-1.0164
2015-06-16,1.4613
2015-06-17,-0.8564
2015-06-18,2.7876
2015-06-19,-3.5523
2015-06-22,0.5545
2015-06-23,-0.2757
