ticker,BCOR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-0.5841
2000-01-04,-11.1633
2000-01-05,1.0582
2000-01-06,-6.6754
2000-01-07,11.2903
2000-01-10,15.4379
2000-01-11,0.6004
2000-01-12,-6.8909
2000-01-13,5.5361
2000-01-14,2.4848
2000-01-18,1.0776
2000-01-19,10.8209
2000-01-20,7.9365
2000-01-21,-3.0303
2000-01-24,-7.9504
2000-01-25,19.4209
2000-01-26,-6.3545
2000-01-27,19.6429
2000-01-28,-9.403
2000-01-31,-7.6606
2000-02-01,4.0143
2000-02-02,-1.0292
2000-02-03,6.7158
2000-02-04,-2.4767
2000-02-07,4.6628
2000-02-08,6.4439
2000-02-09,9.0807
2000-02-10,4.9675
2000-02-11,-0.0979
2000-02-14,4.8024000000000004
2000-02-15,0.0312
2000-02-16,-0.7167
2000-02-17,0.9416
2000-02-18,-0.3731
2000-02-22,-1.9975
2000-02-23,-0.8917
2000-02-24,13.946
2000-02-25,1.6638
2000-02-28,-3.19
2000-02-29,-0.5158
2000-03-01,9.6774
2000-03-02,9.6901
2000-03-03,-0.4788
2000-03-06,-2.4295999999999998
2000-03-07,2.3669000000000002
2000-03-08,-2.842
2000-03-09,1.9088
2000-03-10,-4.6704
2000-03-13,-5.5626
2000-03-14,-12.5372
2000-03-15,-3.5526999999999997
2000-03-16,15.3427
2000-03-17,-6.9147
2000-03-20,-17.4224
2000-03-21,-7.7312
2000-03-22,7.7524999999999995
2000-03-23,-0.1453
2000-03-24,2.2561999999999998
2000-03-27,1.5657999999999999
2000-03-28,-6.5522
2000-03-29,-12.9734
2000-03-30,-10.2111
2000-03-31,11.6603
2000-04-03,-19.4671
2000-04-04,-8.1777
2000-04-05,-2.2519
2000-04-06,18.9061
2000-04-07,19.325
2000-04-10,-15.1896
2000-04-11,-1.581
2000-04-12,-11.3454
2000-04-13,-4.4168
2000-04-14,-7.5829
2000-04-17,-6.7949
2000-04-18,22.5585
2000-04-19,7.5196
2000-04-20,-3.8622
2000-04-24,-6.1889
2000-04-25,20.3704
2000-04-26,-1.4663
2000-04-27,12.4177
2000-04-28,-0.2604
2000-05-01,-6.0052
2000-05-02,-3.3333
2000-05-03,-7.6628
2000-05-04,6.2241
2000-05-05,-1.4647999999999999
2000-05-08,-10.3072
2000-05-09,-4.8895
2000-05-10,-14.8417
2000-05-11,6.412
2000-05-12,7.0833
2000-05-15,11.1045
2000-05-16,3.4483
2000-05-17,2.2917
2000-05-18,-3.8697
