ticker,TYHT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-09-28,541.775
2016-09-29,-43.2685
2016-09-30,-31.7017
2016-10-03,-18.4093
2016-10-04,-22.4535
2016-10-05,-12.4294
2016-10-06,6.7742
2016-10-07,-4.0785
2016-10-10,-9.4488
2016-10-11,-6.087
2016-10-12,-3.1481
2016-10-13,-3.4417
2016-10-14,3.5644
2016-10-17,3.0593
2016-10-18,1.8553
2016-10-19,2.0036
2016-10-20,-1.4285999999999999
2016-10-21,-2.1739
2016-10-24,0.0
2016-10-25,-1.8519
2016-10-26,-2.2641999999999998
2016-10-27,-3.4749
2016-10-28,-2.0
2016-10-31,-6.1224
2016-11-01,-6.5217
2016-11-02,-16.9767
2016-11-03,6.4426
2016-11-04,-8.6842
2016-11-07,8.9337
2016-11-08,-4.2328
2016-11-09,2.4862
2016-11-10,36.1186
2016-11-11,-4.7524999999999995
2016-11-14,-0.2079
2016-11-15,-3.5417
2016-11-16,5.6156
2016-11-17,14.5194
2016-11-18,-0.8929
2016-11-21,-12.6126
2016-11-22,-4.6392
2016-11-23,-5.0811
2016-11-25,-3.8724
2016-11-28,3.5545
2016-11-29,-0.4577
2016-11-30,-1.6092
2016-12-01,5.1402
2016-12-02,-1.3333
2016-12-05,-2.7027
2016-12-06,3.0093
2016-12-07,4.9437999999999995
2016-12-08,4.9251000000000005
2016-12-09,-5.3061
2016-12-12,-1.2931
2016-12-13,-3.0568
2016-12-14,-6.7568
2016-12-15,3.1401
2016-12-16,-5.8548
2016-12-19,5.2239
2016-12-20,-1.8913
2016-12-21,-2.6506
2016-12-22,0.0
2016-12-23,2.2277
2016-12-27,-0.4843
2016-12-28,-8.7591
2016-12-29,6.6667
2016-12-30,5.0
2017-01-03,-6.4286
2017-01-04,-2.799
2017-01-05,2.8796
2017-01-06,-2.799
2017-01-09,1.5707
2017-01-10,0.2577
2017-01-11,-0.1237
2017-01-12,1.1534
2017-01-13,-2.2901
2017-01-17,1.0417
2017-01-18,-0.5155
2017-01-19,-1.2953000000000001
2017-01-20,1.0499
2017-01-23,-0.1299
2017-01-24,-2.2107
2017-01-25,-1.3298
2017-01-26,1.0782
2017-01-27,-2.4
2017-01-30,-3.8251
2017-01-31,-0.2841
2017-02-01,2.5641
2017-02-02,-0.8333
2017-02-03,0.2801
2017-02-06,-0.5587
2017-02-07,-9.8315
2017-02-08,-5.9190000000000005
2017-02-09,10.596
2017-02-10,5.3892
2017-02-13,6.25
2017-02-14,-5.0802
