ticker,PACQF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-06-23,-0.2114
2011-06-24,0.6356
2011-06-28,-0.6316
2011-06-29,0.0
2011-06-30,0.0
2011-07-01,0.0
2011-07-06,-0.1059
2011-07-11,0.0
2011-07-12,-0.4242
2011-07-14,0.0
2011-07-19,0.426
2011-07-21,0.0
2011-07-28,-0.2121
2011-07-29,0.0
2011-08-01,0.0
2011-08-02,0.0
2011-08-04,0.1063
2011-08-05,-0.1062
2011-08-08,0.2125
2011-08-11,-0.4242
2011-08-16,0.213
2011-08-18,0.2125
2011-08-29,0.2121
2011-09-01,0.0
2011-09-13,0.5556
2011-09-15,-0.4473
2011-09-16,-0.6342
2011-09-19,0.8511
2011-09-20,0.211
2011-09-21,0.1053
2011-09-26,0.4206
2011-10-05,0.0
2011-10-06,-0.6283
2011-10-18,0.6322
2011-10-27,-1.3613
2011-11-07,-0.1062
2011-12-08,0.0
2011-12-20,0.0
2011-12-21,3.1881
2012-01-05,0.7209
2012-02-01,-1.8405
2012-02-02,1.0417
2012-02-10,0.1031
2012-03-09,-0.3502
2012-03-16,0.248
2012-03-21,-0.2062
2012-03-22,-0.3099
2012-03-26,0.0
2012-04-23,0.2073
2012-04-26,-0.5171
2012-04-27,0.0
2012-05-02,0.7277
2012-05-07,0.0
2012-05-14,-0.6192
2012-05-15,0.1038
2012-05-21,0.4149
2012-05-24,-0.0013
2012-05-25,0.0013
2012-05-30,-0.1033
2012-06-01,0.1034
2012-06-04,0.2066
2012-06-05,-0.4124
2012-06-06,0.207
2012-06-07,0.2066
2012-06-14,-0.4124
2012-06-15,0.4141
2012-06-21,-0.1031
2012-06-28,-0.4128
2012-07-02,-0.4145
2012-07-03,0.3122
2012-07-05,-0.2075
2012-07-06,0.0
2012-07-09,0.2079
2012-07-10,0.1037
2012-07-12,0.3109
2012-07-16,-0.0103
2012-07-17,0.0103
2012-07-24,-0.4132
2012-07-27,2.6919
2012-07-30,0.5101
2012-08-02,-1.3065
2012-08-03,0.0
2012-08-07,0.8147
2012-08-08,0.8081
2012-09-04,-1.4028
2012-09-10,1.4228
2012-09-12,-1.1022
2012-09-26,0.2026
2012-10-10,-0.5056
2012-10-16,1.4228
2012-11-14,-2.004
2012-11-15,0.6135
2012-11-16,0.7114
2012-11-20,0.0
2012-11-30,-0.2018
2012-12-04,0.3033
2012-12-28,-2.2165
2012-12-31,2.2667
2013-01-02,5.8468
2013-01-07,-5.5238
2013-01-14,-0.1008
2013-01-22,0.1009
