ticker,AGE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-11-30,99.262
2018-12-03,1.8519
2018-12-04,-3.6364
2018-12-06,-2.8302
2018-12-07,0.1942
2018-12-10,-25.1938
2018-12-11,-16.3212
2018-12-12,-5.8824
2018-12-13,25.0
2018-12-14,-6.5789
2018-12-17,6.4789
2018-12-18,-7.9365
2018-12-19,-12.069
2018-12-20,-18.6275
2018-12-21,10.4418
2018-12-24,-6.9091000000000005
2018-12-26,5.0781
2018-12-27,-6.3197
2018-12-28,14.6825
2018-12-31,3.4602
2019-01-02,0.3344
2019-01-03,3.6667
2019-01-04,13.8264
2019-01-07,5.9322
2019-01-08,3.2
2019-01-09,-0.7752
2019-01-10,21.6146
2019-01-11,1.9272
2019-01-14,-1.6806999999999999
2019-01-15,-7.265
2019-01-16,-12.4424
2019-01-17,11.3158
2019-01-18,0.0
2019-01-22,-10.4019
2019-01-23,-0.5277
2019-01-24,6.366
2019-01-25,3.7406
2019-01-28,-10.8173
2019-01-29,4.5822
2019-01-30,1.2887
2019-01-31,-1.5267
2019-02-01,4.1344
2019-02-04,10.9181
2019-02-05,-4.698
2019-02-06,4.4601
2019-02-07,0.4494
2019-02-08,-14.7651
2019-02-11,6.8241
2019-02-12,-1.2285
2019-02-13,1.99
2019-02-14,5.3659
2019-02-15,-3.0093
2019-02-19,14.5585
2019-02-20,-5.625
2019-02-21,-5.298
2019-02-22,9.7902
2019-02-25,2.9724
2019-02-26,-7.0103
2019-02-27,1.3304
2019-02-28,-7.0022
2019-03-01,5.4118
2019-03-04,-7.3661
2019-03-05,3.8554
2019-03-06,-0.6961
2019-03-07,-2.5701
2019-03-08,1.199
2019-03-11,1.4218
2019-03-12,0.0
2019-03-13,-2.1028000000000002
2019-03-14,-1.432
2019-03-15,5.3269
2019-03-18,-3.908
2019-03-19,-4.7847
2019-03-20,1.5074999999999998
2019-03-21,3.9604
2019-03-22,-2.1429
2019-03-25,-2.4331
2019-03-26,4.2394
2019-03-27,0.0
2019-03-28,0.7177
2019-03-29,-3.8005
2019-04-01,-2.716
2019-04-02,5.3299
2019-04-03,-2.8916
2019-04-04,3.7221
2019-04-05,13.8756
2019-04-08,-2.3109
2019-04-09,0.0
2019-04-10,2.3656
2019-04-11,-8.4034
2019-04-12,3.211
2019-04-15,-0.8889
2019-04-16,1.3453
2019-04-17,-1.3274
2019-04-18,2.4664
2019-04-22,-2.8446
2019-04-23,6.7568
2019-04-24,-0.8439
2019-04-25,0.6383
