ticker,AXXA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-08-07,-25.0
2013-08-08,37.7778
2013-08-09,-0.8065
2013-08-12,-18.6992
2013-08-14,-24.2
2013-08-20,-2.3747
2013-08-21,-5.4054
2013-09-03,-82.8571
2013-09-04,-16.6667
2013-09-05,0.0
2013-09-09,0.0
2013-09-10,0.0
2013-09-11,0.0
2013-09-18,500.0
2013-09-19,-53.3333
2013-09-20,-1.4285999999999999
2013-09-23,-5.7971
2013-09-24,0.0
2013-09-25,0.0
2013-09-26,-1.5385
2013-09-27,-31.25
2013-09-30,7.9545
2013-10-01,-45.2632
2013-10-02,-32.6923
2013-10-03,-28.5714
2013-10-04,40.0
2013-10-07,11.4286
2013-10-08,-38.4615
2013-10-09,16.1458
2013-10-10,-24.2152
2013-10-11,-10.0592
2013-10-14,18.4211
2013-10-15,-11.1111
2013-10-16,-7.5
2013-10-17,-2.7027
2013-10-18,38.8889
2013-10-21,4.0
2013-10-22,-23.0769
2013-10-23,-0.625
2013-10-24,-50.6289
2013-10-25,1.9108
2013-10-28,-3.125
2013-10-29,-13.5484
2013-10-30,17.9104
2013-10-31,-13.9241
2013-11-01,19.1176
2013-11-04,-1.2346
2013-11-05,-30.0
2013-11-06,-12.5
2013-11-07,0.0
2013-11-08,-42.8571
2013-11-11,-14.2857
2013-11-12,60.4167
2013-11-13,3.8961
2013-11-14,-10.0
2013-11-18,-11.1111
2013-11-19,-25.0
2013-11-20,-4.1667
2013-11-21,4.3478
2013-11-22,0.0
2013-11-26,16.6667
2013-11-29,-14.2857
2013-12-02,-43.75
2013-12-03,-22.2222
2013-12-04,4.7619
2013-12-05,0.0
2013-12-06,-4.5455
2013-12-09,-9.5238
2013-12-10,0.0
2013-12-11,0.0
2013-12-12,0.0
2013-12-13,-15.7895
2013-12-16,18.75
2013-12-17,0.0
2013-12-18,-15.7895
2013-12-19,18.75
2013-12-20,0.0
2013-12-23,68.4211
2013-12-24,125.0
2013-12-26,-13.8889
2013-12-27,12.9032
2013-12-30,-20.0
2013-12-31,-14.2857
2014-01-02,10.4167
2014-01-03,-20.7547
2014-01-06,-28.5714
2014-01-07,-36.6667
2014-01-08,-15.7895
2014-01-09,0.0
2014-01-10,-12.5
2014-01-13,0.0
2014-01-14,57.1429
2014-01-15,45.4545
2014-01-16,-34.375
2014-01-17,-33.3333
2014-01-21,50.0
2014-01-22,-23.8095
2014-01-23,0.0
2014-01-24,12.5
2014-01-27,-27.7778
2014-01-28,7.6923
