ticker,THRR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-10-17,29.1667
2006-10-18,3.2258
2006-10-19,7.5
2006-10-20,3.4884
2006-10-23,5.618
2006-10-24,0.5319
2006-10-25,0.5291
2006-10-26,3.1579
2006-10-27,0.0
2006-10-30,0.0
2006-10-31,4.0816
2006-11-01,0.4902
2006-11-02,0.4878
2006-11-03,2.9126
2006-11-06,2.8302
2006-11-07,0.0
2006-11-08,1.8349
2006-11-09,12.6126
2006-11-10,-4.0
2006-11-13,-4.1667
2006-11-14,-52.1739
2006-11-15,40.9091
2006-11-16,0.0
2006-11-17,6.4516
2006-11-20,-9.0909
2006-11-21,-3.3333
2006-11-22,-6.8966
2006-11-24,3.7037
2006-11-27,14.2857
2006-11-28,-3.125
2006-11-29,-12.9032
2006-11-30,0.0
2006-12-01,0.0
2006-12-04,-7.4074
2006-12-05,4.0
2006-12-06,-3.8462
2006-12-07,-20.0
2006-12-08,25.0
2006-12-11,-20.0
2006-12-12,3.0
2006-12-13,27.1845
2006-12-14,-4.5802
2006-12-15,-4.0
2006-12-18,-20.8333
2006-12-19,-5.2632
2006-12-20,11.1111
2006-12-21,-10.0
2006-12-22,0.0
2006-12-26,-14.4444
2006-12-27,-2.5974
2006-12-28,-13.3333
2006-12-29,13.8462
2007-01-03,1.3514
2007-01-04,-13.3333
2007-01-05,-15.3846
2007-01-08,40.0
2007-01-09,7.7922
2007-01-10,8.4337
2007-01-11,0.0
2007-01-12,10.0
2007-01-16,-1.0101
2007-01-17,-3.5714
2007-01-18,0.5291
2007-01-19,-20.0
2007-01-22,6.5789
2007-01-23,-12.3457
2007-01-24,-1.4085
2007-01-25,7.1429
2007-01-26,-6.6667
2007-01-29,7.1429
2007-01-30,0.0
2007-01-31,-38.6667
2007-02-01,-17.3913
2007-02-02,31.5789
2007-02-05,-30.0
2007-02-06,0.0
2007-02-07,-8.5714
2007-02-08,-9.375
2007-02-09,6.8966
2007-02-12,-3.2258
2007-02-13,0.0
2007-02-14,-1.6667
2007-02-15,-32.2034
2007-02-16,10.0
2007-02-20,0.0
2007-02-21,-18.1818
2007-02-22,-27.7778
2007-02-23,15.3846
2007-02-26,33.3333
2007-02-27,-30.0
2007-02-28,0.0
2007-03-01,-12.857099999999999
2007-03-02,6.5574
2007-03-05,0.0
2007-03-06,-30.7692
2007-03-07,2.2222
2007-03-08,30.4348
2007-03-09,8.3333
2007-03-12,-7.6923
2007-03-13,0.0
2007-03-14,20.8333
2007-03-16,-17.2414
