ticker,REPH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-03-07,3.75
2014-03-10,1.6867
2014-03-11,3.0806
2014-03-12,0.0
2014-03-13,-4.8276
2014-03-14,-6.401
2014-03-17,0.7742
2014-03-18,4.3534
2014-03-19,4.1718
2014-03-20,7.7739
2014-03-21,-8.4153
2014-03-24,-5.1313
2014-03-25,3.1447
2014-03-26,-5.0
2014-03-27,-8.2157
2014-03-28,0.4196
2014-03-31,1.9499
2014-04-01,-4.6448
2014-04-02,7.3065999999999995
2014-04-03,-4.2724
2014-04-04,-2.371
2014-04-07,-3.2857
2014-04-08,3.3973
2014-04-09,0.8714
2014-04-10,-5.8207
2014-04-11,-3.0075
2014-04-14,-11.6279
2014-04-15,-3.5088
2014-04-16,0.0
2014-04-17,0.0
2014-04-21,-4.3636
2014-04-22,9.3156
2014-04-23,24.3478
2014-04-24,-6.4336
2014-04-25,-7.1749
2014-04-28,0.8052
2014-04-29,1.5974
2014-04-30,2.8302
2014-05-01,0.0
2014-05-02,-2.4465
2014-05-05,-4.5455
2014-05-06,2.6273
2014-05-07,0.8
2014-05-08,0.1587
2014-05-09,-3.8035
2014-05-12,3.9539
2014-05-13,-0.9509
2014-05-14,0.8
2014-05-15,3.0159
2014-05-16,0.0
2014-05-19,5.2388
2014-05-20,-3.6603
2014-05-21,1.3678
2014-05-22,-2.2489
2014-05-23,2.3006
2014-05-27,-1.0495
2014-05-28,-2.8788
2014-05-29,-6.0842
2014-05-30,9.800699999999999
2014-06-02,4.0847
2014-06-03,-4.5058
2014-06-04,2.2831
2014-06-05,-2.5298
2014-06-06,3.8167999999999997
2014-06-09,2.6471
2014-06-10,3.8682
2014-06-11,0.4138
2014-06-12,6.456
2014-06-13,0.7742
2014-06-16,-7.2983
2014-06-17,1.105
2014-06-18,9.2896
2014-06-19,1.875
2014-06-20,-4.0491
2014-06-23,2.4297
2014-06-24,0.9988
2014-06-25,-1.7305000000000001
2014-06-26,-0.5031
2014-06-27,-0.3793
2014-06-30,1.6497000000000002
2014-07-01,-1.3733
2014-07-02,1.2658
2014-07-03,-1.375
2014-07-07,0.0
2014-07-08,-4.6895
2014-07-09,1.7287
2014-07-10,-2.7451
2014-07-11,-0.5376
2014-07-14,0.5405
2014-07-15,-7.1237
2014-07-16,-3.0391
2014-07-17,-9.5522
2014-07-18,4.9505
2014-07-21,-5.5031
2014-07-22,0.3328
2014-07-23,-2.9851
2014-07-24,2.5641
2014-07-25,-3.0833
2014-07-28,1.2898
