ticker,UPCO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-01-11,100.0
2007-02-08,115.0
2007-02-12,16.2791
2007-02-13,8.0
2007-02-14,1.8519
2007-02-15,9.0909
2007-02-16,25.0
2007-02-20,-6.6667
2007-02-22,-2.8571
2007-02-23,-5.8824
2007-02-26,9.375
2007-03-01,4.2857
2007-03-02,2.7397
2007-03-08,-4.0
2007-03-09,40.2778
2007-03-15,-19.802
2007-03-16,0.0
2007-03-20,0.0
2007-03-21,23.4568
2007-03-22,-15.0
2007-03-23,4.7059
2007-03-26,11.236
2007-03-27,-3.0303
2007-03-28,6.25
2007-03-29,-4.902
2007-03-30,4.1237
2007-04-02,3.9604
2007-04-04,-3.8095
2007-04-09,-0.9901
2007-04-10,1.0
2007-04-11,-1.9802
2007-04-12,0.0
2007-04-16,-2.0202
2007-04-17,13.4021
2007-04-18,8.1818
2007-04-19,7.563
2007-04-20,-2.3438
2007-04-23,4.0
2007-04-24,-1.5385
2007-04-25,6.25
2007-04-26,0.0
2007-04-27,1.4706000000000001
2007-04-30,5.0725
2007-05-01,0.6897
2007-05-02,0.0
2007-05-03,1.3699
2007-05-04,0.6757
2007-05-07,0.6711
2007-05-08,2.0
2007-05-09,1.3072
2007-05-10,-1.2903
2007-05-11,0.9804
2007-05-14,0.9709
2007-05-15,-3.8462
2007-05-16,0.0
2007-05-17,-6.0
2007-05-18,-1.4184
2007-05-22,-26.6187
2007-05-23,17.647100000000002
2007-05-24,-13.3333
2007-05-25,5.7692
2007-05-29,0.0
2007-05-30,0.0
2007-05-31,9.0909
2007-06-01,1.6667
2007-06-04,0.0
2007-06-05,-8.1967
2007-06-06,-1.7856999999999998
2007-06-07,13.6364
2007-06-08,0.8
2007-06-11,-1.5873
2007-06-12,-7.2581
2007-06-13,-2.6087
2007-06-14,-0.8929
2007-06-15,2.7027
2007-06-18,2.6316
2007-06-19,-0.8547
2007-06-20,3.4483
2007-06-21,4.1667
2007-06-22,1.6
2007-06-25,2.3622
2007-06-26,0.0
2007-06-27,1.5385
2007-06-28,0.0
2007-06-29,0.0
2007-07-02,5.303
2007-07-03,-3.5971
2007-07-05,-1.4925
2007-07-06,-1.5152
2007-07-10,0.0
2007-07-11,-4.6154
2007-07-12,0.8065
2007-07-13,-3.2
2007-07-16,-0.8264
2007-07-17,7.5
2007-07-18,-1.5504
2007-07-19,2.3622
2007-07-20,5.3846
2007-07-23,8.0292
2007-07-24,0.0
2007-07-25,-1.3514
2007-07-26,-9.589
