ticker,AWRE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.7182
2000-01-04,-6.993
2000-01-05,11.4662
2000-01-06,-3.5413
2000-01-07,-4.8951
2000-01-10,2.9412000000000003
2000-01-11,-4.1071
2000-01-12,-0.9311
2000-01-13,-0.3759
2000-01-14,-5.6604
2000-01-18,2.2
2000-01-19,-2.3483
2000-01-20,5.01
2000-01-21,-2.8626
2000-01-24,7.6621
2000-01-25,5.8394
2000-01-26,0.6897
2000-01-27,-1.8836
2000-01-28,-13.2635
2000-01-31,-0.2012
2000-02-01,19.3548
2000-02-02,13.6824
2000-02-03,1.3373
2000-02-04,5.5718
2000-02-07,3.1944
2000-02-08,-3.2974
2000-02-09,-7.0285
2000-02-10,8.982
2000-02-11,-4.533
2000-02-14,0.7554
2000-02-15,5.9622
2000-02-16,8.8949
2000-02-17,20.7921
2000-02-18,-6.6598
2000-02-22,5.0494
2000-02-23,3.2393
2000-02-24,-3.5425
2000-02-25,1.6789
2000-02-28,-1.032
2000-02-29,5.1095
2000-03-01,4.4643
2000-03-02,-4.2972
2000-03-03,-2.2575
2000-03-06,-16.5482
2000-03-07,1.7032
2000-03-08,1.6745999999999999
2000-03-09,0.2353
2000-03-10,-6.8075
2000-03-13,-5.2897
2000-03-14,-4.2553
2000-03-15,-6.9444
2000-03-16,11.0448
2000-03-17,9.4086
2000-03-20,-2.2113
2000-03-21,-2.5126
2000-03-22,5.1546
2000-03-23,-1.2255
2000-03-24,-5.2109
2000-03-27,-1.5707
2000-03-28,-4.5213
2000-03-29,-3.6212
2000-03-30,-5.2023
2000-03-31,-2.1341
2000-04-03,-8.0997
2000-04-04,8.4746
2000-04-05,5.9375
2000-04-06,11.9469
2000-04-07,-4.8748000000000005
2000-04-10,-12.223
2000-04-11,-5.9566
2000-04-12,-6.7114
2000-04-13,-1.7986
2000-04-14,-16.1172
2000-04-17,0.4367
2000-04-18,31.7391
2000-04-19,-9.0759
2000-04-20,1.2704
2000-04-24,-2.3746
2000-04-25,13.0794
2000-04-26,-7.3052
2000-04-27,2.8021000000000003
2000-04-28,6.3032
2000-05-01,4.3269
2000-05-02,-10.2919
2000-05-03,-3.8099
2000-05-04,1.4686
2000-05-05,5.7895
2000-05-08,-2.4876
2000-05-09,-11.2245
2000-05-10,1.1494
2000-05-11,8.1439
2000-05-12,-1.2259
2000-05-15,-3.3688000000000002
2000-05-16,5.3211
2000-05-17,4.5296
2000-05-18,12.0
2000-05-19,2.5298
