ticker,ALT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-10-07,-0.1429
2005-10-10,0.0
2005-10-11,-0.5722
2005-10-12,0.0
2005-10-13,0.7194
2005-10-14,-0.7143
2005-10-17,0.0
2005-10-18,0.0
2005-10-19,0.0
2005-10-20,0.0
2005-10-21,-1.0072
2005-10-24,1.0174
2005-10-25,0.1583
2005-10-26,-0.158
2005-10-27,0.0
2005-10-28,1.295
2005-10-31,-0.142
2005-11-01,-1.138
2005-11-02,0.0
2005-11-03,-0.7194
2005-11-04,0.0
2005-11-07,-0.7246
2005-11-08,0.0
2005-11-09,0.0
2005-11-10,0.0
2005-11-11,1.4599
2005-11-14,1.1511
2005-11-15,-1.8492
2005-11-16,0.0
2005-11-17,-0.7246
2005-11-18,0.7299
2005-11-21,-0.4348
2005-11-22,0.7278
2005-11-23,0.0
2005-11-28,-0.8671
2005-11-29,0.4373
2005-11-30,-0.1451
2005-12-01,0.0
2005-12-02,1.0174
2005-12-05,-1.1511
2005-12-06,0.4367
2005-12-07,0.0
2005-12-08,0.0
2005-12-09,0.0
2005-12-12,0.0
2005-12-13,0.1449
2005-12-14,0.5789
2005-12-15,0.4317
2005-12-16,-0.4298
2005-12-19,0.0
2005-12-20,0.7194
2005-12-21,-0.1429
2005-12-22,0.1431
2005-12-23,0.7143
2005-12-27,0.2837
2005-12-28,0.4243
2005-12-29,-0.7042
2005-12-30,0.9929
2006-01-03,-1.6854
2006-01-04,0.7143
2006-01-05,0.0
2006-01-06,-1.2766
2006-01-09,0.431
2006-01-10,0.8584
2006-01-11,-0.5674
2006-01-12,-0.1427
2006-01-13,0.0
2006-01-17,0.0
2006-01-18,0.0
2006-01-19,0.7143
2006-01-20,-0.7092
2006-01-23,0.0
2006-01-24,0.1429
2006-01-25,1.2839
2006-01-26,0.0
2006-01-27,0.0
2006-01-30,0.0
2006-01-31,0.7042
2006-02-01,-0.979
2006-02-02,1.6949
2006-02-03,1.3889
2006-02-06,3.4247
2006-02-07,-0.6623
2006-02-08,0.0
2006-02-09,-0.2667
2006-02-10,-0.4011
2006-02-13,0.4027
2006-02-14,-0.8021
2006-02-15,-0.5391
2006-02-16,1.355
2006-02-17,0.5348
2006-02-21,0.3989
2006-02-22,0.0
2006-02-23,0.6623
2006-02-24,-0.2632
2006-02-27,0.6596
2006-02-28,-2.3590999999999998
2006-03-01,0.4027
2006-03-02,-0.5348
2006-03-03,0.8065
2006-03-06,-3.3333
2006-03-07,1.3793
2006-03-08,0.1361
