ticker,WNRP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-06-16,-3.7037
2008-06-24,-0.7692
2008-10-07,-10.8527
2008-10-21,-21.7391
2009-01-22,55.5556
2009-01-23,-37.8571
2009-01-30,20.4598
2009-02-24,-23.6641
2009-03-12,0.0
2009-03-13,0.0
2009-03-16,-2.5
2009-05-22,14.6154
2009-10-05,-44.7427
2009-11-06,-1.2146
2009-11-09,125.4098
2009-12-07,-31.8182
2009-12-28,-18.6667
2010-04-26,-27.2131
2010-05-24,9.009
2010-06-11,1.2397
2010-06-16,-1.2245
2010-07-07,1.2397
2010-07-13,0.0
2010-08-02,-1.2245
2010-08-04,6.1983
2010-08-16,26.4591
2010-08-31,-23.0769
2010-09-13,0.0
2010-09-17,-9.6
2010-10-05,-22.5664
2010-10-07,0.5714
2010-10-18,16.4773
2010-10-19,0.0
2010-10-27,0.0
2010-11-02,14.6341
2010-11-03,-12.766
2010-12-14,2.439
2010-12-16,7.1429
2011-01-07,-8.0
2011-02-18,2.4154999999999998
2011-03-04,0.0
2011-03-08,0.0
2011-03-11,0.0
2011-03-28,-3.3019
2011-03-29,-12.1951
2011-04-04,5.5556
2011-04-08,-5.2632
2011-04-14,-3.8889
2011-04-21,-17.9191
2011-04-26,2.1127
2011-04-29,-2.7586
2011-05-06,-21.9858
2011-05-09,39.0909
2011-05-11,-15.0327
2011-05-12,0.0
2011-05-13,22.3077
2011-06-08,-37.1069
2011-07-15,57.0
2011-07-18,-3.1847
2011-08-11,-37.5
2011-08-12,31.5789
2011-09-06,25.6
2011-09-09,11.465
2011-09-13,14.2857
2011-09-14,46.5
2011-10-11,-57.3208
2011-10-26,11.9552
2011-11-08,25.0071
2011-11-14,-5.7197
2011-11-15,0.0
2011-11-29,-3.0303
2011-12-01,0.0
2011-12-06,-1.5625
2011-12-08,7.9365
2011-12-15,-7.3529
2012-01-06,0.0
2012-01-17,0.0
2012-01-24,0.0
2012-02-01,11.746
2012-02-02,14.2045
2012-02-03,-0.4975
2012-02-13,2.5
2012-02-15,-1.9512
2012-02-17,0.0
2012-02-21,1.99
2012-02-24,-14.6341
2012-02-27,17.1429
2012-03-08,-2.439
2012-03-13,-12.5
2012-03-19,8.5771
2012-03-20,15.7834
2012-04-05,6.8182
2012-04-10,-8.5106
2012-05-01,-2.3256
2012-05-02,0.0
2012-05-08,0.0
2012-05-11,2.3810000000000002
2012-06-12,16.2791
2012-07-03,0.0
2012-07-10,0.0
2012-07-11,0.0
2012-07-25,0.0
