ticker,ALLK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-07-19,73.6111
2018-07-20,12.16
2018-07-23,3.5378
2018-07-24,5.0427
2018-07-25,3.0955
2018-07-26,1.7048
2018-07-27,-0.4503
2018-07-30,0.5278
2018-07-31,1.925
2018-08-01,0.4415
2018-08-02,1.0012
2018-08-03,-0.8221
2018-08-06,-3.2423
2018-08-07,0.4031
2018-08-08,-7.7039
2018-08-09,1.3322
2018-08-10,4.4272
2018-08-13,1.0021
2018-08-14,1.9334
2018-08-15,-5.6651
2018-08-16,2.672
2018-08-17,0.2577
2018-08-20,3.7779
2018-08-21,-2.0555
2018-08-22,-0.7838
2018-08-23,-0.6116
2018-08-24,-0.2308
2018-08-27,0.0
2018-08-28,2.9812
2018-08-29,0.0499
2018-08-30,-4.0659
2018-08-31,0.988
2018-09-04,2.8064
2018-09-05,5.7600999999999996
2018-09-06,1.8233000000000001
2018-09-07,8.3721
2018-09-10,-7.8326
2018-09-11,-0.4191
2018-09-12,3.9747
2018-09-13,0.045
2018-09-14,-0.1349
2018-09-17,-0.9903
2018-09-18,2.0687
2018-09-19,0.8463
2018-09-20,-0.53
2018-09-21,5.7726
2018-09-24,-1.9102000000000001
2018-09-25,-0.4066
2018-09-26,-0.7091
2018-09-27,-1.385
2018-09-28,-1.2728
2018-10-01,-8.1574
2018-10-02,2.2507
2018-10-03,-8.8994
2018-10-04,-17.9267
2018-10-05,5.5714
2018-10-08,-3.5382
2018-10-09,9.6674
2018-10-10,-3.4297
2018-10-11,0.587
2018-10-12,-1.8675000000000002
2018-10-15,0.6542
2018-10-16,10.4874
2018-10-17,7.2193
2018-10-18,5.8853
2018-10-19,1.5309
2018-10-22,3.3171
2018-10-23,3.7045
2018-10-24,-4.7629
2018-10-25,9.9341
2018-10-26,-3.2465
2018-10-29,-1.667
2018-10-30,2.4343
2018-10-31,2.5886
2018-11-01,3.6401
2018-11-02,3.4724
2018-11-05,2.6808
2018-11-06,3.3058
2018-11-07,4.1818
2018-11-08,0.0524
2018-11-09,-7.2562
2018-11-12,5.0028
2018-11-13,2.0419
2018-11-14,-5.0728
2018-11-15,3.4024
2018-11-16,5.49
2018-11-19,-6.2214
2018-11-20,-2.1511
2018-11-21,-2.0137
2018-11-23,5.0905
2018-11-26,0.305
2018-11-27,-2.3609
2018-11-28,8.1334
2018-11-29,3.981
2018-11-30,-4.0241
2018-12-03,1.6975
2018-12-04,-1.2352
2018-12-06,2.6872
2018-12-07,3.0777
