ticker,MEC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-05-09,-3.1176
2019-05-10,0.1821
2019-05-13,-2.7273
2019-05-14,3.9875
2019-05-15,2.7561
2019-05-16,-1.1662
2019-05-17,-4.8378
2019-05-20,0.434
2019-05-21,-0.8025
2019-05-22,-0.7467
2019-05-23,-1.1285
2019-05-24,-2.9802999999999997
2019-05-28,3.3333
2019-05-29,-0.3795
2019-05-30,1.2063
2019-05-31,2.2585
2019-06-03,3.6196
2019-06-04,-1.717
2019-06-05,-3.6747
2019-06-06,-5.2533
2019-06-07,-5.2145
2019-06-10,-4.2479
2019-06-11,-11.8545
2019-06-12,10.231
2019-06-13,11.5269
2019-06-14,0.8725
2019-06-17,0.998
2019-06-18,4.4796
2019-06-19,-1.1349
2019-06-20,-4.5281
2019-06-21,-4.4088
2019-06-24,0.3494
2019-06-25,-2.8552
2019-06-26,4.086
2019-06-27,0.6198
2019-06-28,-5.5441
2019-07-01,-0.4348
2019-07-02,-1.1645
2019-07-03,5.081
2019-07-05,3.8542
2019-07-08,3.0364
2019-07-09,-1.5716999999999999
2019-07-10,2.6612999999999998
2019-07-11,-6.9994
2019-07-12,2.439
2019-07-15,0.4762
2019-07-16,2.3697
2019-07-17,0.6614
2019-07-18,0.1314
2019-07-19,-0.3281
2019-07-22,-6.1224
2019-07-23,0.3506
2019-07-24,3.4242
2019-07-25,-5.473
2019-07-26,2.9307
2019-07-29,-2.9167
2019-07-30,-0.4292
2019-07-31,-5.3879
2019-08-01,-1.7464
2019-08-02,0.6955
2019-08-05,-0.614
2019-08-06,0.2317
2019-08-07,-6.0092
2019-08-08,-3.1148
2019-08-09,-2.7919
2019-08-12,0.7833
2019-08-13,4.8359
2019-08-14,-5.6013
2019-08-15,3.0541
2019-08-16,0.254
2019-08-19,3.4628
2019-08-20,0.6531
2019-08-21,3.4874
2019-08-22,2.5078
2019-08-23,-3.8991
2019-08-26,5.0119
2019-08-27,0.303
2019-08-28,-1.5106000000000002
2019-08-29,4.5245
2019-08-30,-3.0081
2019-09-03,-1.3616
2019-09-04,-0.9969
2019-09-05,2.1689
2019-09-06,-4.094
2019-09-09,1.7391
2019-09-10,0.2331
2019-09-11,1.6279
2019-09-12,0.4577
2019-09-13,-0.2278
2019-09-16,9.2085
2019-09-17,-4.6690000000000005
2019-09-18,-6.3596
2019-09-19,-0.0781
2019-09-20,0.625
2019-09-23,-1.5528
2019-09-24,-1.6562000000000001
2019-09-25,4.17
2019-09-26,-1.1547
