ticker,ECHO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-10-02,0.4286
2009-10-05,-0.4267
2009-10-06,0.0
2009-10-07,-3.5
2009-10-08,-3.923
2009-10-09,-0.8629
2009-10-12,-3.7923999999999998
2009-10-13,-2.2617
2009-10-14,-0.4132
2009-10-15,1.8256999999999999
2009-10-16,1.8745
2009-10-19,0.88
2009-10-20,0.0793
2009-10-21,0.4754
2009-10-22,1.5773000000000001
2009-10-23,-0.0776
2009-10-26,-0.3108
2009-10-27,1.0133
2009-10-28,-0.463
2009-10-29,1.7054
2009-10-30,-0.5335
2009-11-02,1.4559
2009-11-03,3.0967
2009-11-04,3.8828
2009-11-05,0.6347
2009-11-06,-1.4716
2009-11-09,2.1337
2009-11-10,-0.5571
2009-11-11,6.3025
2009-11-12,-3.8208
2009-11-13,-0.9589
2009-11-16,-6.9848
2009-11-17,-1.7844
2009-11-18,-5.1476
2009-11-19,1.2051
2009-11-20,0.6545
2009-11-23,2.366
2009-11-24,-2.0358
2009-11-25,-0.0313
2009-11-27,-0.8596
2009-11-30,-0.0473
2009-12-01,2.4369
2009-12-02,-0.7622
2009-12-03,1.8618999999999999
2009-12-04,6.2148
2009-12-07,-1.262
2009-12-08,-2.8322000000000003
2009-12-09,0.1495
2009-12-10,-1.4403000000000001
2009-12-11,0.7799
2009-12-14,-2.8174
2009-12-15,1.3296999999999999
2009-12-16,-5.7755
2009-12-17,-2.1862
2009-12-18,2.649
2009-12-21,3.629
2009-12-22,-2.6459
2009-12-23,0.3997
2009-12-24,0.1592
2009-12-28,-0.7154
2009-12-29,-0.4003
2009-12-30,1.6881
2009-12-31,0.3162
2010-01-04,-2.3641
2010-01-05,-0.565
2010-01-06,4.9513
2010-01-07,5.6458
2010-01-08,-0.4392
2010-01-11,-1.0294
2010-01-12,-1.1887
2010-01-13,0.0752
2010-01-14,-0.0751
2010-01-15,-0.7519
2010-01-19,-0.7576
2010-01-20,-0.3817
2010-01-21,-1.5326
2010-01-22,-2.4903
2010-01-25,0.6385
2010-01-26,-1.9033
2010-01-27,1.1318
2010-01-28,-2.1583
2010-01-29,-1.3889
2010-02-01,0.2486
2010-02-02,-1.6529
2010-02-03,-5.2101
2010-02-04,-4.344
2010-02-05,-2.2243
2010-02-08,1.1374
2010-02-09,-0.4686
2010-02-10,-2.919
2010-02-11,3.3948
2010-02-12,-1.5947
2010-02-16,0.0
2010-02-17,0.4766
2010-02-18,3.4156
2010-02-19,4.2202
2010-02-22,0.4401
