ticker,CG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-05-03,0.2273
2012-05-04,0.0
2012-05-07,-0.1814
2012-05-08,-0.0454
2012-05-09,-1.1364
2012-05-10,-0.1379
2012-05-11,-1.7035
2012-05-14,-1.4988000000000001
2012-05-15,0.428
2012-05-16,2.1307
2012-05-17,-2.179
2012-05-18,0.0474
2012-05-21,-0.2842
2012-05-22,-0.2375
2012-05-23,-4.0952
2012-05-24,1.2413
2012-05-25,5.4929
2012-05-29,-2.0921
2012-05-30,0.7123
2012-05-31,-0.4243
2012-06-01,-0.4735
2012-06-04,-0.2854
2012-06-05,-0.0954
2012-06-06,2.1012
2012-06-07,1.029
2012-06-08,0.6944
2012-06-11,-1.5171999999999999
2012-06-12,1.774
2012-06-13,0.367
2012-06-14,-0.4113
2012-06-15,0.6884
2012-06-18,-0.4102
2012-06-19,-0.2746
2012-06-20,0.413
2012-06-21,-0.3885
2012-06-22,0.2524
2012-06-25,0.2288
2012-06-26,-1.3242
2012-06-27,0.5553
2012-06-28,1.9788000000000001
2012-06-29,1.2184
2012-07-02,2.0954
2012-07-03,0.2183
2012-07-05,0.5664
2012-07-06,0.2166
2012-07-09,0.4756
2012-07-10,-0.7745
2012-07-11,0.5204
2012-07-12,-1.9413
2012-07-13,1.5398
2012-07-16,0.13
2012-07-17,-0.2596
2012-07-18,-0.5206
2012-07-19,0.3053
2012-07-20,1.8260999999999998
2012-07-23,-2.1349
2012-07-24,1.9634
2012-07-25,1.4549
2012-07-26,1.2231
2012-07-27,0.625
2012-07-30,0.2484
2012-07-31,0.9087
2012-08-01,-1.6783000000000001
2012-08-02,-0.6245
2012-08-03,2.0947
2012-08-06,-0.3693
2012-08-07,0.7825
2012-08-08,-0.5313
2012-08-09,-1.3147
2012-08-10,-0.9575
2012-08-13,5.0021
2012-08-14,-0.2002
2012-08-15,-0.1203
2012-08-16,0.8032
2012-08-17,0.2401
2012-08-20,-2.3154
2012-08-21,2.1659
2012-08-22,-0.04
2012-08-23,0.4402
2012-08-24,0.0398
2012-08-27,0.5575
2012-08-28,0.7525
2012-08-29,1.3758
2012-08-30,0.349
2012-08-31,1.2944
2012-09-04,0.2479
2012-09-05,0.2283
2012-09-06,-0.5315
2012-09-07,1.0305
2012-09-10,0.0
2012-09-11,0.4533
2012-09-12,1.1282
2012-09-13,-0.6322
2012-09-14,1.1228
2012-09-17,0.8512
2012-09-18,-0.4771
2012-09-19,-1.1062
2012-09-20,-1.1559
2012-09-21,-0.3395
