ticker,MAPL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2001-10-04,-1.7692
2002-01-28,-0.1566
2002-01-29,17.647100000000002
2002-11-18,2.7397
2003-09-05,25.0
2004-04-01,3.4483
2004-04-02,12.1212
2004-10-18,-6.4972
2004-10-26,14.8036
2005-01-10,-11.0215
2005-03-29,5.2632
2005-08-31,4.8193
2005-09-09,23.5294
2005-09-15,4.7619
2006-03-16,-19.8113
2006-03-17,11.7647
2006-05-30,-10.526299999999999
2006-05-31,11.7647
2007-01-17,1.1236
2007-01-18,-5.5556
2007-02-06,11.7647
2007-02-15,-7.8947
2007-02-23,5.7143
2007-03-06,0.0
2007-06-20,0.8108
2007-08-20,7.2386
2007-08-29,-5.0
2007-09-27,-5.0
2007-10-08,-1.8283
2007-11-30,7.2235
2007-12-05,-3.9474
2008-03-06,-4.1096
2008-05-08,-24.2857
2008-09-11,-7.3208
2008-10-22,-10.4235
2008-10-27,4.5455
2008-11-18,-0.6957
2008-11-20,-3.6778
2008-12-23,9.0909
2009-11-30,-91.25
2009-12-22,0.0
2009-12-31,6.6667
2010-02-16,-6.25
2010-03-25,-47.619
2010-10-22,-9.0909
2011-02-01,-40.0
2011-08-25,0.0
2011-09-16,-16.6667
2011-12-23,0.0
2012-04-18,0.0
2013-10-10,-60.0
2014-04-11,0.0
2014-05-08,0.0
2015-04-10,410.0
2015-04-14,292.1569
2015-04-21,-62.5
2015-05-07,0.0
2015-05-22,66.6667
2015-08-11,-20.0
2015-08-14,-10.0
2017-01-24,0.0
2017-03-03,0.0
2017-04-06,11.1111
2017-04-10,25.0
2017-05-16,60.0
2017-05-17,50.0
2017-05-24,60.0
2017-05-25,45.8333
2017-05-26,14.2857
2017-05-30,0.0
2017-05-31,12.5
2017-06-01,11.1111
2017-06-05,10.0
2017-06-15,9.0909
2017-06-22,16.6667
2017-06-23,7.1429
2017-06-26,0.0
2017-06-27,6.6667
2017-06-28,-12.5
2017-06-29,0.0
2017-07-12,-28.5714
2017-07-26,-30.0
2017-08-28,-28.5714
2017-09-13,-2.0
2018-01-24,-38.7755
2018-01-26,-16.6667
2018-07-13,0.0
2018-07-17,-38.0
2018-07-23,0.0
2018-08-27,-3.2258
2018-08-28,33.3333
2019-02-04,-25.0
2019-02-11,0.0
2019-03-19,-9.1667
2019-05-03,-30.2752
2019-05-07,-36.8421
2019-05-15,16.6667
2019-06-12,42.8571
2019-06-13,-37.0
2019-10-10,-29.9841
2019-12-06,45.0918
2020-02-04,-31.0781
2020-02-19,0.0
2020-03-23,-31.9882
2020-04-20,113.3333
2020-05-11,-70.1406
2020-07-28,-42.4385
