ticker,DKTS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-08-14,576.6667
2008-09-02,0.4926
2008-09-05,8.3333
2008-10-14,14.4796
2008-10-22,0.0
2008-12-16,6.7194
2009-01-22,-11.1111
2009-02-20,25.0
2009-03-05,-6.6667
2009-03-11,-64.2857
2009-03-12,100.0
2009-03-13,5.0
2009-03-20,23.8095
2009-03-26,-23.0769
2009-04-02,-50.0
2009-05-20,-93.0
2009-05-22,45.7143
2009-05-26,-1.9607999999999999
2009-05-29,-10.0
2009-06-02,22.2222
2009-06-03,0.0
2009-06-04,-41.8182
2009-06-05,31.25
2009-06-08,23.8095
2009-06-09,15.3846
2009-06-10,-20.0
2009-06-11,-8.3333
2009-06-12,9.0909
2009-06-15,-25.0
2009-06-16,0.0
2009-06-17,-2.7778
2009-06-18,-8.5714
2009-06-19,6.25
2009-06-22,-17.647100000000002
2009-06-23,-21.4286
2009-06-24,-18.1818
2009-06-25,-16.6667
2009-06-26,6.6667
2009-06-29,0.0
2009-06-30,-18.75
2009-07-01,-23.0769
2009-07-02,30.0
2009-07-06,-15.3846
2009-07-07,-9.0909
2009-07-08,-10.0
2009-07-09,-11.1111
2009-07-10,-12.5
2009-07-13,-28.5714
2009-07-14,-26.0
2009-07-15,-18.9189
2009-07-16,-6.6667
2009-07-17,3.5714
2009-07-20,3.4483
2009-07-21,60.0
2009-07-22,-18.75
2009-07-23,-5.1282
2009-07-24,-13.1757
2009-07-27,-6.6148
2009-07-28,-3.3333
2009-07-29,0.0
2009-07-30,-1.7241
2009-07-31,-1.7544
2009-08-03,7.1429
2009-08-04,-5.0
2009-08-05,5.2632
2009-08-06,1.6667
2009-08-07,-4.918
2009-08-10,34.4828
2009-08-11,-23.0769
2009-08-12,0.0
2009-08-13,0.0
2009-08-14,96.6667
2009-08-17,27.1186
2009-08-18,60.0
2009-08-19,-54.1667
2009-08-20,-14.5455
2009-08-21,-4.2553
2009-08-24,-5.5556
2009-08-25,-8.2353
2009-08-26,2.5641
2009-08-27,5.0
2009-08-28,64.2857
2009-08-31,-5.7971
2009-09-01,-6.1538
2009-09-02,-1.6393
2009-09-03,0.0
2009-09-04,0.0
2009-09-08,-16.6667
2009-09-09,20.0
2009-09-10,0.0
2009-09-11,-1.6667
2009-09-14,-15.2542
2009-09-15,-2.0
2009-09-16,-14.2857
2009-09-17,2.3810000000000002
2009-09-18,2.3256
2009-09-21,0.0
2009-09-22,-3.4091
2009-09-23,3.5294
2009-09-24,-4.5455
