ticker,IMAC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-02-13,-28.1951
2019-02-14,2.1739
2019-02-15,1.5957
2019-02-19,2.0288
2019-02-20,2.6299
2019-02-21,2.5
2019-02-22,-1.7048999999999999
2019-02-25,-4.4689
2019-02-26,3.6364
2019-02-27,-1.0025
2019-02-28,-1.2658
2019-03-01,-3.6538
2019-03-04,-9.2455
2019-03-05,-5.6919
2019-03-06,-15.4229
2019-03-07,-1.8382
2019-03-08,11.0412
2019-03-11,0.0
2019-03-12,11.306
2019-03-13,-7.8788
2019-03-14,1.9737
2019-03-15,0.6452
2019-03-18,-2.5641
2019-03-19,22.3684
2019-03-20,0.8065
2019-03-21,4.0
2019-03-22,3.0769
2019-03-25,-1.9876
2019-03-26,-6.8552
2019-03-27,91.0082
2019-03-28,-30.8131
2019-03-29,3.0928
2019-04-01,6.0
2019-04-02,3.7736
2019-04-03,1.8182
2019-04-04,-3.2143
2019-04-05,0.5535
2019-04-08,-1.3559999999999999
2019-04-09,-1.0435
2019-04-10,-1.2538
2019-04-11,-4.8217
2019-04-12,-10.0
2019-04-15,3.5556
2019-04-16,-9.1202
2019-04-17,-11.2161
2019-04-18,10.3723
2019-04-22,2.8916
2019-04-23,1.6276000000000002
2019-04-24,1.3757
2019-04-25,5.0191
2019-04-26,-3.7143
2019-04-29,-9.6304
2019-04-30,8.9552
2019-05-01,-1.2032
2019-05-02,-3.8222
2019-05-03,2.5493
2019-05-06,-3.9691
2019-05-07,-1.0223
2019-05-08,-0.9047
2019-05-09,-0.8682
2019-05-10,-0.9561
2019-05-13,0.8361
2019-05-14,-1.0628
2019-05-15,10.0973
2019-05-16,-2.6665
2019-05-17,-0.2299
2019-05-20,3.5629
2019-05-21,-2.0665
2019-05-23,-5.6184
2019-05-24,0.5012
2019-05-28,16.0437
2019-05-29,2.3702
2019-05-30,3.2652
2019-05-31,-0.7749
2019-06-03,-3.4483
2019-06-04,3.8445
2019-06-05,-3.0953
2019-06-06,2.2965
2019-06-07,-1.6327
2019-06-10,-2.4896
2019-06-11,-5.9574
2019-06-12,9.5023
2019-06-13,-2.4793
2019-06-14,0.6356
2019-06-17,5.2632
2019-06-18,-0.4
2019-06-19,-5.6225000000000005
2019-06-20,-2.766
2019-06-21,-11.8162
2019-06-24,2.5037000000000003
2019-06-25,-7.9644
2019-06-26,-0.05
2019-06-27,3.1579
2019-06-28,1.7856999999999998
2019-07-01,10.2757
2019-07-02,-4.5455
2019-07-05,2.1857
