ticker,SGMO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-04-06,0.4167
2000-04-07,-0.4149
2000-04-10,-15.4167
2000-04-11,-13.3005
2000-04-12,-9.0909
2000-04-13,-11.25
2000-04-14,-2.8169
2000-04-17,-0.7246
2000-04-18,10.9489
2000-04-19,-1.3158
2000-04-20,0.0
2000-04-24,-24.0
2000-04-25,12.2807
2000-04-26,5.4688
2000-04-27,17.037
2000-04-28,0.0
2000-05-01,1.2658
2000-05-02,6.25
2000-05-03,1.1764999999999999
2000-05-04,2.3256
2000-05-05,0.0
2000-05-08,-6.8182
2000-05-09,-2.439
2000-05-10,-12.5
2000-05-11,2.8571
2000-05-12,6.9444
2000-05-15,12.987
2000-05-16,-8.6207
2000-05-17,-10.6918
2000-05-18,7.0423
2000-05-19,2.6316
2000-05-22,-7.0513
2000-05-23,-8.9655
2000-05-24,-9.8485
2000-05-25,-4.2017
2000-05-26,-5.2632
2000-05-30,1.8519
2000-05-31,0.0
2000-06-01,1.8182
2000-06-02,0.0
2000-06-05,28.5714
2000-06-06,19.4444
2000-06-07,11.0465
2000-06-08,13.6126
2000-06-09,9.6774
2000-06-12,5.042
2000-06-13,-12.4
2000-06-14,3.653
2000-06-15,-8.37
2000-06-16,-3.8462
2000-06-19,2.0
2000-06-20,28.4314
2000-06-21,14.5038
2000-06-22,2.0
2000-06-23,4.5752
2000-06-26,-6.25
2000-06-27,12.0
2000-06-28,14.881
2000-06-29,-0.5181
2000-06-30,15.1042
2000-07-03,-2.7149
2000-07-05,9.7674
2000-07-06,-5.0847
2000-07-07,7.5893
2000-07-10,22.4066
2000-07-11,2.7119
2000-07-12,-0.9901
2000-07-13,-14.3333
2000-07-14,4.4747
2000-07-17,9.8696
2000-07-18,3.7288
2000-07-19,1.634
2000-07-20,2.8939
2000-07-21,8.125
2000-07-24,4.1908
2000-07-25,-9.8474
2000-07-26,-4.4615
2000-07-27,-6.6023
2000-07-28,-3.1034
2000-07-31,-13.167300000000001
2000-08-01,-13.5246
2000-08-02,14.218
2000-08-03,-0.6224
2000-08-04,7.7244
2000-08-07,-3.1008
2000-08-08,3.2
2000-08-09,5.0388
2000-08-10,0.738
2000-08-11,-7.326
2000-08-14,-3.9526
2000-08-15,9.6708
2000-08-16,4.3152
2000-08-17,7.0144
2000-08-18,2.1849
2000-08-21,1.6447
2000-08-22,0.9709
2000-08-23,1.9231
2000-08-24,2.5157
2000-08-25,7.362
2000-08-28,0.5714
2000-08-29,7.3864
