ticker,ORIC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-04-24,61.0625
2020-04-27,1.1253
2020-04-28,-1.4582
2020-04-29,2.4922
2020-04-30,0.4939
2020-05-01,0.3781
2020-05-04,4.2938
2020-05-05,4.117
2020-05-06,3.2605
2020-05-07,6.1471
2020-05-08,2.0886
2020-05-11,4.3087
2020-05-12,-0.8321
2020-05-13,-7.282
2020-05-14,9.7931
2020-05-15,-3.8858
2020-05-18,-2.3583
2020-05-19,-0.2509
2020-05-20,-9.7484
2020-05-21,1.1847
2020-05-22,-2.8926
2020-05-26,0.1064
2020-05-27,-4.2508
2020-05-28,5.3274
2020-05-29,1.9319
2020-06-01,4.4108
2020-06-02,15.8086
2020-06-03,2.2514
2020-06-04,0.864
2020-06-05,3.3987
2020-06-08,1.2026
2020-06-09,-5.1492
2020-06-10,-3.3129
2020-06-11,-8.1486
2020-06-12,5.1411
2020-06-15,2.6237
2020-06-16,-1.6851
2020-06-17,8.7766
2020-06-18,-5.8951
2020-06-19,-1.5011999999999999
2020-06-22,-6.9461
2020-06-23,8.7874
2020-06-24,5.3850999999999996
2020-06-25,4.7253
2020-06-26,-8.4732
2020-06-29,-2.0063
2020-06-30,-1.3454
2020-07-01,-7.3229
2020-07-02,-4.2546
2020-07-06,-4.4437
2020-07-07,-10.4895
2020-07-08,-4.0234
2020-07-09,-3.2967
2020-07-10,3.9983
2020-07-13,-1.6592
2020-07-14,-4.8148
2020-07-15,3.329
2020-07-16,-1.2551999999999999
2020-07-17,6.6949
2020-07-20,10.0079
2020-07-21,-7.148
2020-07-22,-0.3888
2020-07-23,-8.0796
2020-07-24,-6.1571
2020-07-27,-1.991
2020-07-28,9.2336
2020-07-29,-9.2561
2020-07-30,-2.0959
2020-07-31,-4.5195
