ticker,IMTV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-08-28,8900.0
2006-08-29,66.6667
2006-08-30,0.0
2006-08-31,0.0
2006-09-05,-6.6667
2006-09-12,64.2857
2006-09-13,8.6957
2006-10-04,0.0
2006-10-05,0.0
2006-10-11,0.0
2006-10-12,0.0
2006-10-13,0.0
2006-10-17,-8.0
2006-10-18,8.6957
2006-10-20,0.0
2006-10-23,-60.0
2006-10-24,130.0
2006-10-25,8.6957
2006-10-26,-8.0
2006-10-30,-13.0435
2006-10-31,30.0
2006-11-01,-3.8462
2006-11-02,20.0
2006-11-03,-16.6667
2006-11-06,0.0
2006-11-09,-12.0
2006-11-10,13.6364
2006-11-13,-56.0
2006-11-14,-18.1818
2006-11-16,177.7778
2006-11-21,-16.0
2006-11-22,-76.1905
2006-11-24,-99.625
2006-11-27,26566.6667
2006-11-28,60.0
2006-11-30,0.0
2006-12-07,-37.5
2006-12-14,200.0
2006-12-19,-66.6667
2006-12-21,100.0
2007-01-08,0.0
2007-03-07,0.0
2007-03-20,0.0
2007-03-29,0.0
2007-04-30,-50.0
2007-06-22,-84.0
2007-08-01,-75.0
2007-08-08,225.0
2007-08-10,-7.6923
2007-12-20,316.6667
2007-12-27,-64.0
2007-12-28,-89.4444
2008-01-10,5.2632
2008-01-17,900.0
2008-01-18,0.0
2008-01-23,-10.0
2008-02-06,-99.8611
2008-02-07,119900.0
2008-02-20,0.0
2008-06-02,-99.9167
2008-06-04,79900.0
2008-06-06,100.0
2008-06-30,-99.9375
2008-07-01,159900.0
2008-07-21,-95.0
2008-07-28,-50.0
2008-08-11,4900.0
2008-09-22,-32.0
2008-09-23,-99.9265
2008-10-01,199900.0
2009-03-04,-96.0
2009-03-09,900.0
2009-03-10,0.0
2009-03-11,120.0
2009-03-13,-9.0909
2009-05-12,-75.0
2009-05-13,280.0
2009-05-14,-36.8421
2009-05-15,-25.0
2009-05-19,5.5556
2009-05-20,-47.3684
2009-05-21,80.0
2009-05-22,5.5556
2009-05-26,0.0
2009-05-28,-15.7895
2009-05-29,18.75
2009-06-01,0.0
2009-06-05,0.0
2009-06-09,0.0
2009-06-11,0.0
2009-06-15,-5.2632
2009-06-19,16.6667
2009-06-22,-9.5238
2009-06-23,-10.526299999999999
2009-06-24,-17.647100000000002
2009-06-29,-7.1429
2009-06-30,30.7692
2009-07-10,-41.1765
2009-07-14,0.0
2009-07-17,-40.0
2009-07-20,-50.0
2009-07-21,100.0
2009-07-23,-63.3333
