ticker,GWPC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-10-10,29900.0
2006-10-11,-19.2
2006-10-13,8.9109
2006-10-17,-8.1818
2006-10-18,18.8119
2006-10-23,8.3333
2006-10-24,-7.6923
2006-10-25,-6.6667
2006-10-26,-12.5
2006-10-27,7.1429
2006-10-30,2.8571
2006-10-31,-4.6296
2006-11-01,2.4272
2006-11-02,0.4739
2006-11-03,0.0
2006-11-06,1.8868
2006-11-07,-0.9259
2006-11-08,-3.7382999999999997
2006-11-09,1.9417
2006-11-10,0.9524
2006-11-13,-1.8868
2006-11-14,0.9615
2006-11-16,-3.8095
2006-11-17,0.0
2006-11-20,-7.9208
2006-11-21,5.3763
2006-11-22,5.102
2006-11-24,0.0
2006-11-27,0.9709
2006-11-28,-0.9615
2006-11-30,0.9709
2006-12-01,2.8846
2006-12-04,-1.8692
2006-12-05,-2.8571
2006-12-06,0.9804
2006-12-07,3.8834999999999997
2006-12-08,-3.7382999999999997
2006-12-11,0.0
2006-12-12,1.9417
2006-12-13,-0.9524
2006-12-14,-8.6538
2006-12-15,5.2632
2006-12-18,-1.0
2006-12-19,0.5051
2006-12-20,-0.5025
2006-12-21,0.0
2006-12-22,1.0101
2006-12-26,0.0
2006-12-27,4.0
2006-12-28,3.8462
2006-12-29,-7.4074
2007-01-03,0.0
2007-01-04,0.0
2007-01-05,-2.0
2007-01-08,0.0
2007-01-09,-3.0612
2007-01-10,-5.2632
2007-01-11,0.0
2007-01-12,5.5556
2007-01-16,5.2632
2007-01-17,-9.0
2007-01-19,9.8901
2007-01-23,-5.0
2007-01-24,5.2632
2007-01-25,-3.0
2007-01-26,4.1237
2007-01-29,0.0
2007-01-31,-0.9901
2007-02-01,-5.0
2007-02-05,1.0526
2007-02-06,-3.125
2007-02-07,2.1505
2007-02-08,1.0526
2007-02-09,-3.125
2007-02-12,1.0753
2007-02-13,0.0
2007-02-14,1.0638
2007-02-15,0.0
2007-02-20,-9.473700000000001
2007-02-21,2.3256
2007-02-23,2.2727
2007-02-26,4.4444
2007-02-27,-9.5745
2007-02-28,-1.1764999999999999
2007-03-01,1.1905000000000001
2007-03-02,-4.7059
2007-03-06,2.8395
2007-03-08,11.6447
2007-03-09,0.0
2007-03-13,-5.3763
2007-03-15,-20.4545
2007-03-16,14.2857
2007-03-20,-18.75
2007-03-21,6.1538
2007-03-22,2.8986
2007-03-23,-2.8169
2007-03-26,0.0
2007-03-27,0.0
2007-03-29,0.0
2007-03-30,0.0
