ticker,ROYTL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-05-03,0.0
2012-05-04,-0.75
2012-05-07,-1.2594
2012-05-08,-1.3776
2012-05-09,-1.2416
2012-05-10,0.1048
2012-05-11,-1.5584
2012-05-14,-0.7027
2012-05-15,-1.1777
2012-05-16,-1.9502000000000002
2012-05-17,-1.9337
2012-05-18,-2.9295999999999998
2012-05-21,0.4063
2012-05-22,-0.7514
2012-05-23,-0.0582
2012-05-24,3.38
2012-05-25,1.9165999999999999
2012-05-29,0.8426
2012-05-30,-3.8185000000000002
2012-05-31,-3.1646
2012-06-01,-5.0505
2012-06-04,1.2516
2012-06-05,4.759
2012-06-06,4.7788
2012-06-07,-0.3378
2012-06-08,-1.2993999999999999
2012-06-11,3.2627
2012-06-12,0.8869
2012-06-13,-0.8791
2012-06-14,0.7761
2012-06-15,2.5303
2012-06-18,-1.2876
2012-06-19,0.5978
2012-06-20,-0.1621
2012-06-21,-1.5693000000000001
2012-06-22,0.9896
2012-06-25,-1.7854999999999999
2012-06-26,0.654
2012-06-27,3.0509
2012-06-28,-0.6472
2012-06-29,1.1381999999999999
2012-07-02,0.4832
2012-07-03,0.8538
2012-07-05,0.4233
2012-07-06,-2.5817
2012-07-09,-1.7307000000000001
2012-07-10,0.4953
2012-07-11,1.862
2012-07-12,-0.1075
2012-07-13,0.1076
2012-07-16,0.9677
2012-07-17,-0.1065
2012-07-18,0.0
2012-07-19,0.3731
2012-07-20,-0.6373
2012-07-23,0.0
2012-07-24,-0.0534
2012-07-25,-0.107
2012-07-26,-0.5353
2012-07-27,0.1177
2012-07-30,0.271
2012-07-31,-0.3784
2012-08-01,-0.8681
2012-08-02,0.7115
2012-08-03,0.0
2012-08-06,-1.3587
2012-08-07,0.6061
2012-08-08,-1.4239
2012-08-09,0.3333
2012-08-10,0.9413
2012-08-13,-0.384
2012-08-14,1.3767
2012-08-15,0.9234
2012-08-16,0.7535
2012-08-17,0.8547
2012-08-20,0.053
2012-08-21,0.0529
2012-08-22,-0.1058
2012-08-23,0.1059
2012-08-24,0.3704
2012-08-27,-0.2109
2012-08-28,-0.5283
2012-08-29,0.7355
2012-08-30,0.1594
2012-08-31,0.5305
2012-09-04,0.6332
2012-09-05,-2.3597
2012-09-06,-0.8056
2012-09-07,1.7867
2012-09-10,-0.5851
2012-09-11,-2.0332
2012-09-12,0.2185
2012-09-13,0.545
2012-09-14,-0.7046
2012-09-17,0.0
2012-09-18,-0.3821
2012-09-19,0.6027
