ticker,ZPAS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-12-29,0.8889
2017-01-03,3.5242
2017-01-04,6.383
2017-01-12,4.0
2017-01-26,34.6154
2017-01-27,14.2857
2017-02-16,9.375
2017-02-27,5.6
2017-03-03,6.0606
2017-03-27,29.2857
2017-03-28,-0.5525
2017-03-29,-11.1111
2017-03-30,0.0
2017-03-31,-5.625
2017-04-03,4.6358
2017-04-04,1.8987
2017-04-05,5.5901
2017-04-06,2.9412000000000003
2017-04-07,1.7143000000000002
2017-04-10,1.1236
2017-04-11,1.1111
2017-04-12,1.6484
2017-04-13,4.8649000000000004
2017-04-17,3.6082
2017-04-18,2.4876
2017-04-19,2.4272
2017-04-20,6.1611
2017-04-21,5.3571
2017-04-24,8.8983
2017-04-25,-2.3346
2017-04-26,9.5618
2017-04-27,0.0
2017-04-28,4.7273
2017-05-01,3.8194
2017-05-02,2.6756
2017-05-03,3.9088000000000003
2017-05-04,4.0752
2017-05-05,3.6145
2017-05-08,4.0698
2017-05-09,1.6760000000000002
2017-05-10,-17.5824
2017-05-11,-28.3333
2017-05-12,-8.3721
2017-05-15,9.1371
2017-05-16,0.4651
2017-05-17,1.8519
2017-05-18,5.4545
2017-05-19,4.7414
2017-05-22,8.2305
2017-05-23,9.8859
2017-05-24,2.0761
2017-05-25,-23.7288
2017-05-26,20.8889
2017-05-30,-1.1029
2017-05-31,1.1152
2017-06-01,-16.9118
2017-06-02,-18.1416
2017-06-05,-39.4595
2017-06-06,-18.75
2017-06-07,9.8901
2017-06-08,5.0
2017-06-09,6.6667
2017-06-12,3.5714
2017-06-13,12.931000000000001
2017-06-14,8.3969
2017-06-15,0.0
2017-06-16,-22.5352
2017-06-19,-6.3636
2017-06-20,3.8834999999999997
2017-06-21,4.6729
2017-06-22,0.0
2017-06-23,0.0
2017-06-26,-6.25
2017-06-27,-9.5238
2017-06-28,-20.0
2017-06-29,-14.473700000000001
2017-06-30,3.0769
2017-07-03,23.8806
2017-07-05,2.4096
2017-07-06,0.0
2017-07-07,5.8824
2017-07-10,-0.3333
2017-07-11,-16.388
2017-07-12,1.3333
2017-07-13,-6.5789
2017-07-14,-2.8169
2017-07-17,1.4493
2017-07-18,-4.2857
2017-07-19,-5.2239
2017-07-20,-1.5044
2017-07-21,-24.0543
2017-07-24,-5.2632
2017-07-25,-4.5111
2017-07-26,-16.2206
2017-07-27,40.2778
2017-07-28,-14.8515
2017-07-31,1.983
2017-08-01,0.3359
2017-08-02,-11.3636
