ticker,AJX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-02-13,-1.7544
2015-02-17,0.0
2015-02-18,0.0
2015-02-19,0.8571
2015-02-20,-0.4958
2015-02-23,0.2847
2015-02-24,-0.071
2015-02-25,0.2131
2015-02-26,0.0
2015-02-27,-0.0709
2015-03-02,0.2128
2015-03-03,0.1415
2015-03-04,2.0495
2015-03-05,0.7618
2015-03-06,-0.0687
2015-03-09,0.0688
2015-03-10,-0.6186
2015-03-11,-0.899
2015-03-12,-0.4187
2015-03-13,-0.6307
2015-03-16,0.3526
2015-03-17,-0.773
2015-03-18,-0.779
2015-03-19,2.8551
2015-03-20,-1.1103
2015-03-23,1.2631999999999999
2015-03-24,1.0395
2015-03-25,0.1372
2015-03-26,0.137
2015-03-27,-2.2572
2015-03-30,2.5892
2015-03-31,-0.8868
2015-04-01,-0.7571
2015-04-02,2.7046
2015-04-06,0.135
2015-04-07,-1.7532
2015-04-08,-1.0981
2015-04-09,2.0819
2015-04-10,0.0
2015-04-13,-0.068
2015-04-14,-1.2245
2015-04-15,1.7218
2015-04-16,-0.3385
2015-04-17,-1.8342
2015-04-20,0.7612
2015-04-21,-1.2363
2015-04-22,-0.1391
2015-04-23,-0.5571
2015-04-24,0.0
2015-04-27,-0.1401
2015-04-28,0.2805
2015-04-29,-0.7692
2015-04-30,-0.0705
2015-05-01,1.1989
2015-05-04,-1.8815
2015-05-05,-0.5682
2015-05-06,-1.7143000000000002
2015-05-07,-0.5087
2015-05-08,0.7305
2015-05-11,-0.2175
2015-05-12,-2.5436
2015-05-13,-3.5794
2015-05-14,2.5882
2015-05-15,0.7645
2015-05-18,-1.4416
2015-05-19,-0.3079
2015-05-20,-0.5405
2015-05-21,1.6303999999999998
2015-05-22,-0.6875
2015-05-26,-0.3077
2015-05-27,0.9259
2015-05-28,2.37
2015-05-29,1.643
2015-06-01,0.0735
2015-06-02,1.1013
2015-06-03,3.1954
2015-06-04,-0.3519
2015-06-05,-0.7768
2015-06-08,1.637
2015-06-09,0.2801
2015-06-10,-1.0475
2015-06-11,-0.2117
2015-06-12,0.2122
2015-06-15,-1.1997
2015-06-16,2.2857
2015-06-17,-0.9078
2015-06-18,1.1276
2015-06-19,0.0697
2015-06-22,0.1393
2015-06-23,-2.6426
2015-06-24,-0.5
2015-06-25,0.1436
2015-06-26,1.7921
2015-06-29,-2.2535
2015-06-30,2.1614
2015-07-01,0.0705
2015-07-02,0.0705
2015-07-06,-0.493
2015-07-07,-0.92
