ticker,ZION US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-6.2302
2000-01-04,-4.8423
2000-01-05,-0.1183
2000-01-06,1.4218
2000-01-07,0.2336
2000-01-10,-1.8065
2000-01-11,-5.2819
2000-01-12,0.8772
2000-01-13,8.6957
2000-01-14,1.7143000000000002
2000-01-18,-5.0562
2000-01-19,1.0651
2000-01-20,-1.7564
2000-01-21,0.8343
2000-01-24,-1.6548
2000-01-25,3.2452
2000-01-26,-0.2328
2000-01-27,8.3594
2000-01-28,-2.8139
2000-01-31,5.3452
2000-02-01,1.0571
2000-02-02,-1.8828
2000-02-03,-1.1727
2000-02-04,-4.5306999999999995
2000-02-07,-0.113
2000-02-08,5.0905
2000-02-09,-5.0592
2000-02-10,-0.3401
2000-02-11,-0.4551
2000-02-14,-1.0286
2000-02-15,1.2702
2000-02-16,-0.4561
2000-02-17,0.8591
2000-02-18,-9.3697
2000-02-22,2.5063
2000-02-23,-0.978
2000-02-24,0.4938
2000-02-25,-1.7199
2000-02-28,3.0
2000-02-29,3.034
2000-03-01,-4.4759
2000-03-02,1.4797
2000-03-03,-24.5443
2000-03-06,7.0853
2000-03-07,-4.2105
2000-03-08,-5.9655000000000005
2000-03-09,-1.5025
2000-03-10,1.0169
2000-03-13,1.9295
2000-03-14,-4.0329
2000-03-15,6.3465
2000-03-16,6.7742
2000-03-17,-1.0574
2000-03-20,-3.9695
2000-03-21,7.4722
2000-03-22,-0.4438
2000-03-23,4.6062
2000-03-24,-3.267
2000-03-27,-7.3421
2000-03-28,0.7924
2000-03-29,-0.5896
2000-03-30,-3.0447
2000-03-31,8.646
2000-04-03,-3.9039
2000-04-04,4.0625
2000-04-05,-1.2012
2000-04-06,3.3435
2000-04-07,-4.4118
2000-04-10,4.3077
2000-04-11,6.4897
2000-04-12,1.108
2000-04-13,4.1096
2000-04-14,-4.8684
2000-04-17,-0.5533
2000-04-18,-2.7816
2000-04-19,-6.4378
2000-04-20,5.1988
2000-04-24,1.1628
2000-04-25,2.5862
2000-04-26,-3.7815
2000-04-27,-3.4934
2000-04-28,0.1508
2000-05-01,0.6024
2000-05-02,2.8443
2000-05-03,-5.2402
2000-05-04,-0.1536
2000-05-05,0.3077
2000-05-08,3.0675
2000-05-09,0.0
2000-05-10,-4.9107
2000-05-11,3.7872
2000-05-12,1.5152
2000-05-15,1.194
2000-05-16,-1.0324
2000-05-17,-1.4903
2000-05-18,0.1513
2000-05-19,0.0755
2000-05-22,2.3396
