ticker,ANAB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-01-26,13.3333
2017-01-27,3.1176
2017-01-30,-2.1107
2017-01-31,-1.2238
2017-02-01,-1.9468999999999999
2017-02-02,1.6846999999999999
2017-02-03,3.7278000000000002
2017-02-06,7.4729
2017-02-07,-1.5924
2017-02-08,6.8501
2017-02-09,1.7163
2017-02-10,11.761800000000001
2017-02-13,2.8863
2017-02-14,1.8127
2017-02-15,-0.3815
2017-02-16,-4.0426
2017-02-17,5.9424
2017-02-21,-0.6697
2017-02-22,-2.4442
2017-02-23,1.8143
2017-02-24,4.37
2017-02-27,-2.439
2017-02-28,-0.625
2017-03-01,-3.2704
2017-03-02,-1.2570000000000001
2017-03-03,-0.5268
2017-03-06,1.5004
2017-03-07,3.6962
2017-03-08,-3.7741
2017-03-09,0.6536
2017-03-10,0.4329
2017-03-13,10.1724
2017-03-14,3.2473
2017-03-15,-1.7431
2017-03-16,2.3139
2017-03-17,-0.0377
2017-03-20,3.2805
2017-03-21,0.4746
2017-03-22,-1.7805
2017-03-23,2.1088
2017-03-24,0.5072
2017-03-27,-0.757
2017-03-28,0.6175
2017-03-29,0.6498
2017-03-30,3.2281
2017-03-31,-3.5789
2017-04-03,0.5405
2017-04-04,-2.1864
2017-04-05,-4.8003
2017-04-06,-4.1955
2017-04-07,-0.8035
2017-04-10,1.7010999999999998
2017-04-11,-0.4381
2017-04-12,1.52
2017-04-13,-2.5217
2017-04-17,0.8488
2017-04-18,-2.6854
2017-04-19,1.4827
2017-04-20,0.1218
2017-04-21,-0.608
2017-04-24,1.0604
2017-04-25,2.4617
2017-04-26,5.5534
2017-04-27,0.5597
2017-04-28,-1.0019
2017-05-01,-1.7241
2017-05-02,0.0763
2017-05-03,-0.5335
2017-05-04,-1.1877
2017-05-05,1.3571
2017-05-08,-0.2295
2017-05-09,-1.0352999999999999
2017-05-10,-0.6587
2017-05-11,4.0562
2017-05-12,-1.4618
2017-05-15,0.3804
2017-05-16,4.3956
2017-05-17,-2.9401
2017-05-18,-0.374
2017-05-19,0.976
2017-05-22,0.0372
2017-05-23,1.4121000000000001
2017-05-24,-3.188
2017-05-25,1.0598
2017-05-26,-3.7453
2017-05-30,1.1284
2017-05-31,-1.5391
2017-06-01,-3.009
2017-06-02,0.967
2017-06-05,-10.4948
2017-06-06,2.5858
2017-06-07,-16.1669
2017-06-08,17.4184
2017-06-09,-0.883
2017-06-12,-1.7816999999999998
2017-06-13,1.2698
2017-06-14,3.6273999999999997
