ticker,IMUC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-12-08,0.0
2006-12-13,5.0
2006-12-14,9.5238
2006-12-15,4.3478
2006-12-19,0.0
2006-12-22,66.6667
2006-12-28,-23.0
2007-01-04,-2.5974
2007-01-08,-26.6667
2007-01-09,0.0
2007-01-12,4.5455
2007-01-16,-4.3478
2007-01-17,-8.1818
2007-01-24,10.8911
2007-01-26,2.6786
2007-01-29,13.0435
2007-01-30,-11.538499999999999
2007-01-31,73.913
2007-02-01,0.0
2007-02-02,0.0
2007-02-05,10.0
2007-02-06,0.0
2007-02-07,0.0
2007-02-12,-4.5455
2007-02-13,0.0
2007-02-14,0.0
2007-02-15,-4.7619
2007-02-16,0.0
2007-02-20,0.0
2007-02-22,12.5
2007-02-23,-4.4444
2007-03-07,11.6279
2007-03-09,0.0
2007-03-15,0.0
2007-03-16,4.1667
2007-03-19,12.0
2007-03-20,0.0
2007-03-21,0.0
2007-03-22,3.9286
2007-03-23,-3.7801
2007-03-27,-8.9286
2007-03-30,0.0
2007-04-05,37.2549
2007-04-09,-7.1429
2007-04-10,-1.2308
2007-04-11,-1.8692
2007-04-12,-14.2857
2007-04-19,-5.5556
2007-04-24,19.6078
2007-04-25,-19.6721
2007-04-26,-14.2857
2007-05-01,2.3810000000000002
2007-05-07,0.0
2007-05-10,4.6512
2007-05-14,0.0
2007-05-16,0.0
2007-05-18,0.0
2007-05-21,0.0
2007-05-23,0.0
2007-06-05,-4.0
2007-06-06,-18.9815
2007-06-07,-11.4286
2007-06-08,-3.2258
2007-06-11,-10.0
2007-06-12,-3.7037
2007-06-14,-3.8462
2007-06-15,-4.0
2007-06-18,16.6667
2007-06-19,-13.5714
2007-06-20,3.3058
2007-06-22,8.0
2007-06-26,-1.4815
2007-06-27,0.0
2007-06-28,1.5038
2007-07-02,-10.3704
2007-07-06,-4.9587
2007-07-09,0.0
2007-07-10,17.3913
2007-07-11,0.0
2007-07-12,-7.4074
2007-07-13,0.0
2007-07-16,-4.0
2007-07-17,0.8333
2007-07-18,0.0
2007-07-19,0.0
2007-07-20,-0.8264
2007-07-24,-4.1667
2007-07-26,-4.3478
2007-08-02,0.0
2007-08-07,-8.1818
2007-08-20,8.9109
2007-08-21,-6.3636
2007-08-22,0.0
2007-08-24,-1.9417
2007-08-27,-9.901
2007-08-28,2.1978
2007-09-13,18.2796
2007-09-17,4.5455
2007-09-18,4.3478
2007-09-19,-5.0
2007-09-24,-1.7544
2007-09-27,-5.3571
