ticker,USDP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-10-09,-5.8824
2014-10-10,4.375
2014-10-13,-0.7186
2014-10-14,-2.2919
2014-10-15,0.3086
2014-10-16,2.4
2014-10-17,-1.0216
2014-10-20,-0.5464
2014-10-21,3.2357
2014-10-22,1.7149999999999999
2014-10-23,-0.0581
2014-10-24,-1.1053
2014-10-27,-0.4118
2014-10-28,-0.0591
2014-10-29,-3.1324
2014-10-30,-0.9152
2014-10-31,2.3399
2014-11-03,0.4844
2014-11-04,-0.003
2014-11-05,0.2994
2014-11-06,-0.8955
2014-11-07,0.8434
2014-11-10,0.0597
2014-11-11,0.0
2014-11-12,-0.8955
2014-11-13,-0.9036
2014-11-14,-0.1216
2014-11-17,1.0347
2014-11-18,-1.0843
2014-11-19,0.3045
2014-11-20,0.1821
2014-11-21,0.0
2014-11-24,-2.1212
2014-11-25,1.8576000000000001
2014-11-26,-1.6413
2014-11-28,-7.7256
2014-12-01,-18.6872
2014-12-02,1.4827
2014-12-03,2.6786
2014-12-04,0.9486
2014-12-05,-0.8614
2014-12-08,-1.6588
2014-12-09,14.4578
2014-12-10,-6.7368
2014-12-11,4.8909
2014-12-12,-5.3085
2014-12-15,-3.4848
2014-12-16,4.0031
2014-12-17,-0.1509
2014-12-18,1.4361
2014-12-19,-5.5887
2014-12-22,1.2628
2014-12-23,5.6118
2014-12-24,0.369
2014-12-26,1.9118
2014-12-29,2.3810000000000002
2014-12-30,-0.3524
2014-12-31,0.2122
2015-01-02,1.6937
2015-01-05,-1.4573
2015-01-06,-0.8451
2015-01-07,-5.5398
2015-01-08,5.2632
2015-01-09,0.2143
2015-01-12,4.7755
2015-01-13,-1.7006999999999999
2015-01-14,-3.045
2015-01-15,1.7844
2015-01-16,1.3324
2015-01-20,-3.3218
2015-01-21,-1.2885
2015-01-22,1.2328000000000001
2015-01-23,0.1433
2015-01-26,-1.3591
2015-01-27,-1.5228000000000002
2015-01-28,-4.271
2015-01-29,0.1538
2015-01-30,0.3072
2015-02-02,0.0
2015-02-03,-0.4594
2015-02-04,-1.3077
2015-02-05,2.3675
2015-02-06,0.6206
2015-02-09,-3.0069
2015-02-10,2.3052
2015-02-11,2.6418
2015-02-12,-0.9084
2015-02-13,-2.3682
2015-02-17,0.8607
2015-02-18,-0.4655
2015-02-19,0.5456
2015-02-20,2.2481
2015-02-23,-2.2745
2015-02-24,0.0
2015-02-25,-2.948
2015-02-26,2.8777
2015-02-27,2.6418
2015-03-02,-2.1953
