ticker,AMBS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-09-22,150.0
2011-06-13,1850.0
2011-06-14,1823.0769
2011-06-15,0.0
2011-06-20,-30.0
2011-06-22,-19.0476
2011-06-23,29.4118
2011-06-24,0.0
2011-06-27,-31.8182
2011-06-28,0.0
2011-06-30,40.0
2011-07-12,-0.9524
2011-07-13,-37.5
2011-07-14,4.6154
2011-07-15,0.0
2011-07-18,-18.8235
2011-07-19,-5.7971
2011-07-20,-5.7692
2011-07-21,0.0
2011-07-22,-19.3878
2011-07-25,-36.7089
2011-07-26,14.0
2011-07-27,-29.8246
2011-07-28,77.5
2011-07-29,-15.493
2011-08-01,30.0
2011-08-02,-28.2051
2011-08-03,-7.1429
2011-08-04,-7.6923
2011-08-05,-8.3333
2011-08-08,-31.8182
2011-08-09,25.2083
2011-08-10,6.4892
2011-08-11,-11.25
2011-08-12,40.8451
2011-08-15,0.0
2011-08-16,-20.0
2011-08-17,0.0
2011-08-18,-11.0625
2011-08-19,-21.293
2011-08-22,0.0
2011-08-23,28.5714
2011-08-24,-19.4444
2011-08-25,-31.0345
2011-08-26,59.0
2011-08-29,-18.239
2011-08-30,-7.6923
2011-08-31,0.0
2011-09-01,0.0
2011-09-02,0.0
2011-09-06,-16.6667
2011-09-07,0.0
2011-09-08,0.0
2011-09-09,30.0
2011-09-12,0.0
2011-09-13,-15.3846
2011-09-14,0.0
2011-09-19,-45.4545
2011-09-20,133.3333
2011-09-21,-14.2857
2011-09-22,-33.3333
2011-09-23,62.5
2011-09-26,-0.7692
2011-09-27,-22.4806
2011-09-28,0.0
2011-09-29,-20.0
2011-09-30,25.0
2011-10-03,0.0
2011-10-04,0.0
2011-10-05,-20.0
2011-10-06,62.5
2011-10-07,23.0769
2011-10-10,0.0
2011-10-11,6.25
2011-10-12,0.0
2011-10-13,-5.8824
2011-10-14,0.0
2011-10-17,0.0
2011-10-18,-6.25
2011-10-19,0.0
2011-10-20,-23.3333
2011-10-24,0.0
2011-10-25,1.7391
2011-10-26,2.5641
2011-10-27,25.0
2011-10-28,30.0
2011-10-31,-2.5641
2011-11-01,57.8947
2011-11-02,-20.0
2011-11-03,-8.3333
2011-11-04,0.0
2011-11-07,0.0
2011-11-08,-22.7273
2011-11-09,-11.7647
2011-11-10,17.125
2011-11-11,-8.9292
2011-11-14,-3.5547
2011-11-15,0.567
2011-11-16,-19.4523
2011-11-17,32.0
2011-11-18,9.0909
2011-11-21,0.0
2011-11-23,-30.5556
