ticker,HCAT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-07-25,50.6538
2019-07-26,-2.2211
2019-07-29,8.1462
2019-07-30,4.7079
2019-07-31,2.0291
2019-08-01,0.4068
2019-08-02,-8.7553
2019-08-05,-5.1801
2019-08-06,0.8585
2019-08-07,4.3075
2019-08-08,5.9594000000000005
2019-08-09,7.1411999999999995
2019-08-12,5.9246
2019-08-13,-0.329
2019-08-14,-10.4601
2019-08-15,-4.3548
2019-08-16,2.1079
2019-08-19,5.2967
2019-08-20,-3.0921
2019-08-21,0.948
2019-08-22,-1.6491
2019-08-23,-10.0373
2019-08-26,5.8245000000000005
2019-08-27,-1.4922
2019-08-28,-0.6705
2019-08-29,0.275
2019-08-30,-0.6233
2019-09-03,-1.6056
2019-09-04,1.8613
2019-09-05,-7.5344
2019-09-06,-1.5430000000000001
2019-09-09,-4.5917
2019-09-10,-4.611
2019-09-11,4.0181
2019-09-12,-1.1327
2019-09-13,3.7897
2019-09-16,4.7835
2019-09-17,3.1605
2019-09-18,1.3616
2019-09-19,-5.8125
2019-09-20,4.0867
2019-09-23,0.1054
2019-09-24,-5.8963
2019-09-25,-5.7343
2019-09-26,-6.0831
2019-09-27,-4.2338000000000005
2019-09-30,4.388
2019-10-01,-7.8698
2019-10-02,-3.4305
2019-10-03,1.3498999999999999
2019-10-04,-4.6618
2019-10-07,4.5221
2019-10-08,-4.5375
2019-10-09,-2.5792
2019-10-10,1.9289
2019-10-11,3.2282
2019-10-14,2.8037
2019-10-15,0.0
2019-10-16,5.2448
2019-10-17,-5.5814
2019-10-18,2.0408
2019-10-21,-2.4483
2019-10-22,-3.0753
2019-10-23,1.2035
2019-10-24,4.0721
2019-10-25,3.0817
2019-10-28,0.739
2019-10-29,-0.5002
2019-10-30,7.6408000000000005
2019-10-31,0.1245
2019-11-01,5.5348
2019-11-04,-1.9741
2019-11-05,1.0219
2019-11-06,-0.6546
2019-11-07,2.0066
2019-11-08,2.7892
2019-11-11,-1.0283
2019-11-12,-3.3478
2019-11-13,5.4046
2019-11-14,-4.4193
2019-11-15,1.8672
2019-11-18,0.0291
2019-11-19,5.0465
2019-11-20,3.2258
2019-11-21,-0.1341
2019-11-22,0.5103
2019-11-25,1.3094999999999999
2019-11-26,0.3693
2019-11-27,-1.498
2019-11-29,6.0032
2019-12-02,-4.3796
2019-12-03,3.7378
2019-12-04,0.203
2019-12-05,2.8362
2019-12-06,0.0492
2019-12-09,-0.32
2019-12-10,-3.0123
