ticker,BBLKF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-06-18,-7.6667
2008-06-19,-0.722
2008-06-20,-4.0
2008-06-23,-1.9697
2008-06-24,-4.7913
2008-06-25,5.1948
2008-06-26,-1.6204
2008-06-27,0.3922
2008-06-30,5.4688
2008-07-01,-1.8519
2008-07-02,-1.8113000000000001
2008-07-03,-0.0769
2008-07-07,0.0769
2008-07-08,1.8447
2008-07-09,1.8868
2008-07-10,3.4815
2008-07-11,0.1423
2008-07-14,0.5727
2008-07-15,-1.7058
2008-07-16,0.507
2008-07-17,-1.8714
2008-07-18,-3.2258
2008-07-21,-0.2273
2008-07-22,0.9871
2008-07-23,2.1053
2008-07-24,1.1773
2008-07-25,1.8204
2008-07-28,-1.2875
2008-07-29,0.0009
2008-07-30,-1.593
2008-07-31,-3.0905
2008-08-01,-0.4556
2008-08-04,-2.3646
2008-08-05,-6.25
2008-08-06,-6.6833
2008-08-07,-1.7682
2008-08-08,-9.0
2008-08-11,-7.5924
2008-08-12,-1.6216
2008-08-13,0.989
2008-08-14,-2.2851
2008-08-15,1.3363
2008-08-18,5.6044
2008-08-19,-3.5380000000000003
2008-08-20,1.726
2008-08-21,-3.0753
2008-08-22,-0.1094
2008-08-25,-0.8215
2008-08-26,1.4895
2008-08-27,1.416
2008-08-28,1.0716
2008-08-29,-1.0603
2008-09-02,-2.4678
2008-09-03,-5.3905
2008-09-04,-8.4884
2008-09-05,-4.8285
2008-09-08,-9.8798
2008-09-09,-10.8148
2008-09-10,15.282399999999999
2008-09-11,3.7464
2008-09-12,3.3333
2008-09-15,-9.1398
2008-09-16,-3.2544
2008-09-17,2.9052
2008-09-18,0.7429
2008-09-19,8.7021
2008-09-22,-1.7639
2008-09-23,-7.8729
2008-09-24,-2.5487
2008-09-25,-1.951
2008-09-26,-8.8368
2008-09-29,-5.3356
2008-09-30,-1.4567999999999999
2008-10-01,1.2938
2008-10-02,-16.2113
2008-10-03,-1.087
2008-10-06,-22.4176
2008-10-07,-1.4163999999999999
2008-10-08,6.3182
2008-10-09,-8.9158
2008-10-10,-18.0063
2008-10-13,22.3225
2008-10-14,10.159
2008-10-15,-14.0565
2008-10-16,1.25
2008-10-17,-3.0864
2008-10-20,17.8344
2008-10-21,-2.7027
2008-10-22,-16.6667
2008-10-23,-20.3333
2008-10-24,-16.318
2008-10-27,-5.0
2008-10-28,-85.7895
2008-10-29,-96.2963
2008-10-31,600.0
2008-11-03,-42.8571
2008-11-04,25.0
2008-11-05,20.0
