ticker,NOMD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-09-17,-4.7619
2014-09-25,7.7273
2014-09-29,0.0
2014-10-06,-0.0844
2014-10-09,-7.5169
2014-11-06,8.2192
2014-12-05,-5.0633
2014-12-17,-6.6667
2015-01-14,-2.3810000000000002
2015-01-21,-2.439
2015-01-22,0.0
2015-01-23,0.25
2015-01-30,-0.2494
2015-02-11,-2.5
2015-02-23,4.6154
2015-02-27,1.9607999999999999
2015-03-17,-1.1538
2015-04-17,17.2179
2015-04-20,20.332
2015-04-21,13.7931
2015-04-22,9.0909
2015-04-23,4.1667
2015-04-24,-4.5333
2015-04-27,0.5587
2015-06-03,15.2778
2015-06-04,-1.6867
2015-06-05,3.4314
2015-06-08,3.0806
2015-06-09,0.0
2015-06-10,-1.1494
2015-06-11,0.0
2015-06-12,-1.1628
2015-06-15,0.0
2015-06-16,2.3529
2015-06-18,-0.9195
2015-06-19,0.9281
2015-06-22,0.0
2015-06-23,-1.4253
2015-06-24,1.4459
2015-06-25,1.1494
2015-06-26,0.4545
2015-06-29,-0.4525
2015-06-30,0.0
2015-07-01,-2.2727
2015-07-02,1.1628
2015-07-06,0.2299
2015-07-07,-1.3761
2015-07-08,-4.6512
2015-07-09,2.439
2015-07-10,1.1905000000000001
2015-07-13,3.5294
2015-07-14,-2.2727
2015-07-15,0.0
2015-07-16,0.0
2015-07-17,-0.4651
2015-07-20,0.4673
2015-07-21,0.4651
2015-07-22,0.0
2015-07-23,-0.463
2015-07-27,-2.3256
2015-07-28,-1.1905000000000001
2015-07-29,1.2048
2015-07-30,-2.3810000000000002
2015-07-31,1.2195
2015-08-03,3.6145
2015-08-04,0.0
2015-08-05,0.9302
2015-08-06,-0.9217
2015-08-07,-3.7209
2015-08-10,0.7246
2015-08-11,0.7194
2015-08-12,5.9524
2015-08-13,-3.3708
2015-08-14,-0.1163
2015-08-17,0.1164
2015-08-18,0.0
2015-08-19,0.1395
2015-08-20,-0.1393
2015-08-21,-2.3256
2015-08-24,-1.1905000000000001
2015-08-25,-3.1325
2015-08-26,0.0
2015-08-27,1.99
2015-08-28,-3.4146
2015-08-31,0.8838
2015-09-01,-2.378
2015-09-02,-0.2564
2015-09-03,0.7712
2015-09-04,-1.0204
2015-09-08,1.8041
2015-09-09,0.5063
2015-09-10,0.7557
2015-09-11,0.0
2015-09-14,0.0
2015-09-15,-1.5
2015-09-16,-1.0152
2015-09-17,-0.1282
2015-09-18,0.1284
2015-09-21,-1.2821
