ticker,YMAB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-09-21,50.0
2018-09-24,12.375
2018-09-25,-6.2661999999999995
2018-09-26,-2.2152
2018-09-27,1.254
2018-09-28,6.1127
2018-10-01,-1.9202
2018-10-02,11.0173
2018-10-03,-7.3651
2018-10-04,-12.2807
2018-10-05,11.7447
2018-10-08,-9.2917
2018-10-09,-5.3317
2018-10-10,-0.2217
2018-10-11,-1.5556
2018-10-12,-6.0497
2018-10-15,3.7963
2018-10-16,-2.0833
2018-10-17,-7.896
2018-10-18,12.9363
2018-10-19,-2.2727
2018-10-22,2.0
2018-10-23,1.0032
2018-10-24,1.0835
2018-10-25,6.0741
2018-10-26,-5.9368
2018-10-29,0.8057
2018-10-30,5.8615
2018-10-31,3.0201
2018-11-01,1.3844
2018-11-02,1.9277
2018-11-05,1.2214
2018-11-06,-0.7396
2018-11-07,0.549
2018-11-08,0.585
2018-11-09,-1.0081
2018-11-12,-4.9745
2018-11-13,-4.5754
2018-11-14,3.6285
2018-11-15,2.5844
2018-11-16,1.0565
2018-11-19,-0.8444
2018-11-20,-4.9878
2018-11-21,6.0606
2018-11-23,9.5372
2018-11-26,-3.9677
2018-11-27,-6.886
2018-11-28,4.0263
2018-11-29,3.9494
2018-11-30,-5.3191
2018-12-03,-0.0803
2018-12-04,-1.6064
2018-12-06,-4.6122
2018-12-07,-3.1665
2018-12-10,-2.2095
2018-12-11,-0.723
2018-12-12,0.0
2018-12-13,-1.7751000000000001
2018-12-14,-0.7414
2018-12-17,-4.4351
2018-12-18,-3.0288
2018-12-19,-4.2317
2018-12-20,-4.1031
2018-12-21,-7.186
2018-12-24,-8.9243
2018-12-26,10.3829
2018-12-27,1.0582
2018-12-28,9.1914
2018-12-31,8.3644
2019-01-02,-10.472
2019-01-03,12.246
2019-01-04,-2.6908
2019-01-07,11.815
2019-01-08,-1.1691
2019-01-09,7.1429
2019-01-10,3.0149
2019-01-11,-2.5556
2019-01-14,-6.8951
2019-01-15,1.9990999999999999
2019-01-16,2.9398999999999997
2019-01-17,-0.2596
2019-01-18,-1.1280000000000001
2019-01-22,-9.3462
2019-01-23,-1.2585
2019-01-24,5.0
2019-01-25,0.6069
2019-01-28,-4.0835
2019-01-29,-3.0963
2019-01-30,1.1982
2019-01-31,1.5293999999999999
2019-02-01,0.0486
2019-02-04,1.6027
2019-02-05,1.0038
2019-02-06,-3.6441
2019-02-07,0.7859
2019-02-08,0.8285
2019-02-11,2.0783
2019-02-12,2.8409
