ticker,DBGR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-06-14,-0.3978
2011-06-17,-0.1597
2011-06-27,-1.0
2011-06-28,0.3232
2011-07-05,2.7386
2011-07-12,-1.8424
2011-07-13,0.5591
2011-07-14,-0.0397
2011-07-15,-0.1073
2011-07-19,0.0278
2011-07-20,0.2386
2011-07-22,0.1587
2011-07-26,-0.1584
2011-07-27,-1.9832999999999998
2011-08-02,-2.4686
2011-08-04,-2.0747
2011-08-05,-2.5423999999999998
2011-08-08,-3.3913
2011-08-09,1.8834
2011-08-16,4.9981
2011-08-18,-2.2718
2011-08-22,-0.9901
2011-08-23,0.0
2011-08-29,2.0
2011-08-31,2.3018
2011-09-06,-3.1667
2011-09-12,-0.5594
2011-09-14,-0.2596
2011-09-22,-5.2928
2011-09-26,0.7787
2011-09-27,1.3636
2011-10-13,1.7489
2011-10-19,0.0
2011-10-20,0.0
2011-11-21,-0.0881
2011-12-14,-3.2201
2011-12-15,-0.3646
2012-01-03,5.9589
2012-01-04,0.7036
2012-02-13,1.7904
2012-02-16,0.3861
2012-03-08,0.6838
2012-03-19,0.2966
2012-04-27,-2.4117
2012-05-07,-3.5993
2012-05-16,-4.5128
2012-05-22,1.7755
2012-05-25,-0.0171
2012-05-30,-1.2963
2012-06-01,-0.5159
2012-06-06,3.4418
2012-06-12,-1.8687
2012-06-25,-1.7227000000000001
2012-06-27,1.2131
2012-06-29,3.2176
2012-07-03,1.5476
2012-07-19,-2.286
2012-07-26,-0.9174
2012-08-03,0.8796
2012-08-17,2.3468
2012-09-06,1.7426
2012-10-05,1.4544000000000001
2012-10-16,-0.394
2012-10-17,1.7475
2012-10-18,-1.0287
2012-10-22,0.4764
2012-11-19,-2.3276
2012-12-05,1.4122
2012-12-11,1.436
2012-12-12,0.4719
2012-12-18,-0.7691
2012-12-19,1.1221
2012-12-20,0.0879
2012-12-21,-0.614
2012-12-28,0.2203
2012-12-31,0.8814
2013-01-02,0.5242
2013-01-03,-0.8692
2013-01-04,0.263
2013-01-08,-0.481
2013-01-09,0.0879
2013-01-10,0.8341
2013-01-14,2.2203
2013-01-18,-1.0647
2013-01-28,1.3345
2013-02-05,-0.8921
2013-02-13,0.7844
2013-02-14,0.0723
2013-02-19,-0.51
2013-02-25,-0.3417
2013-02-26,-0.3167
2013-03-04,3.1986
2013-03-08,3.9583
2013-03-13,-6.3327
2013-03-14,0.5129
2013-03-20,-0.9786
2013-03-25,0.111
2013-03-27,-0.3755
2013-03-28,1.4726
