ticker,ENGY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-10-04,16.6667
2004-10-05,-14.2143
2004-10-06,4.0799
2004-10-07,4.0
2004-10-08,-0.0769
2004-10-11,-3.6952
2004-10-12,1.9984
2004-10-13,1.8809
2004-10-15,-0.0769
2004-10-18,-1.3857
2004-10-19,0.0781
2004-10-20,1.4041000000000001
2004-10-21,0.0
2004-10-22,-1.5385
2004-10-25,1.4766
2004-10-26,-2.225
2004-10-27,0.3937
2004-10-28,-0.3922
2004-10-29,-2.7559
2004-11-01,-0.4049
2004-11-02,0.4065
2004-11-03,1.2146
2004-11-04,-0.8
2004-11-05,2.8226
2004-11-09,-0.1647
2004-11-10,-1.1706
2004-11-11,1.3514
2004-11-12,0.0
2004-11-15,1.8824
2004-11-16,-3.0023
2004-11-17,0.0
2004-11-18,-1.2698
2004-11-19,-2.6447000000000003
2004-11-22,-7.5221
2004-11-23,3.9286
2004-11-24,-2.4914
2004-11-29,-3.6123
2004-11-30,0.5484
2004-12-01,0.0
2004-12-02,-5.0
2004-12-03,-1.9139
2004-12-06,-2.3317
2004-12-07,4.8846
2004-12-08,0.0
2004-12-09,-4.7524
2004-12-10,2.4898
2004-12-13,4.3902
2004-12-14,-4.2056000000000004
2004-12-15,-0.4878
2004-12-16,2.9412000000000003
2004-12-17,1.9048
2004-12-20,-1.8692
2004-12-21,-6.3048
2004-12-23,6.729
2004-12-27,-4.7619
2004-12-28,-2.0
2004-12-29,5.6122
2004-12-30,5.314
2005-01-03,-9.1743
2005-01-04,6.0606
2005-01-07,-6.1905
2005-01-12,0.5076
2005-01-13,0.0
2005-01-18,20.202
2005-01-19,0.4202
2005-01-20,-4.1004
2005-01-21,-0.5236
2005-01-24,-3.5088
2005-01-25,-5.4545
2005-01-26,4.2308
2005-01-27,-3.1365
2005-01-28,-2.8571
2005-01-31,7.8431
2005-02-01,-0.1818
2005-02-02,4.5537
2005-02-03,1.9163999999999999
2005-02-04,-1.7094
2005-02-08,3.7244
2005-02-09,-1.9539
2005-02-10,-10.4099
2005-02-11,4.878
2005-02-14,-3.814
2005-02-15,5.4159
2005-02-16,1.9266
2005-02-17,2.6103
2005-02-18,0.8772
2005-02-22,-0.3478
2005-02-23,0.0873
2005-02-24,0.2616
2005-02-25,5.3043
2005-02-28,-1.4864
2005-03-01,-2.347
2005-03-02,-1.2876
2005-03-03,0.0
2005-03-04,0.6957
2005-03-07,4.1883
2005-03-08,-0.7874
2005-03-09,7.9449
2005-03-10,-3.8851
