ticker,NEWA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-07-28,78.6
2017-07-31,-3.0235
2017-08-01,-9.3533
2017-08-02,1.9108
2017-08-03,32.1112
2017-08-04,-14.7499
2017-08-07,9.6559
2017-08-08,-6.8826
2017-08-09,6.1957
2017-08-10,-9.1095
2017-08-11,0.2252
2017-08-14,8.9888
2017-08-15,-4.1237
2017-08-16,-1.1828
2017-08-17,19.6953
2017-08-18,-1.9091
2017-08-21,5.2827
2017-08-22,-0.7923
2017-08-23,-2.8394
2017-08-24,-8.4018
2017-08-25,-2.6919
2017-08-28,0.3074
2017-08-29,-6.0266
2017-08-30,-1.087
2017-08-31,-2.7473
2017-09-01,-1.5819
2017-09-05,-1.6073
2017-09-06,-3.734
2017-09-07,-2.4242
2017-09-08,-0.2484
2017-09-11,11.7061
2017-09-12,2.6756
2017-09-13,-4.2345
2017-09-14,-6.3492
2017-09-15,0.1211
2017-09-18,1.451
2017-09-19,2.3838
2017-09-20,11.8743
2017-09-21,-1.1446
2017-09-22,-9.1579
2017-09-25,0.81
2017-09-26,-4.5966000000000005
2017-09-27,9.759
2017-09-28,-2.3052
2017-09-29,-3.1461
2017-10-02,-0.8121
2017-10-03,-1.4035
2017-10-04,2.6097
2017-10-05,-2.0809
2017-10-06,0.8264
2017-10-09,0.3513
2017-10-10,2.3337
2017-10-11,2.3945
2017-10-12,5.4566
2017-10-13,0.7392
2017-10-16,-4.2977
2017-10-17,0.3286
2017-10-18,2.8384
2017-10-19,0.4246
2017-10-20,8.8795
2017-10-23,-5.1456
2017-10-24,-1.74
2017-10-25,6.4583
2017-10-26,10.0783
2017-10-27,21.0667
2017-10-30,4.5521
2017-10-31,-4.4944
2017-11-01,5.5882
2017-11-02,0.9749
2017-11-03,7.3793
2017-11-06,-2.4406
2017-11-07,-19.5523
2017-11-08,2.455
2017-11-09,8.147
2017-11-10,-5.5391
2017-11-13,8.9132
2017-11-14,-8.3274
2017-11-15,-1.018
2017-11-16,0.9494
2017-11-17,-16.5361
2017-11-20,1.9718
2017-11-21,-8.7477
2017-11-22,-1.3118
2017-11-24,-0.409
2017-11-27,-10.883
2017-11-28,14.7465
2017-11-29,-6.3253
2017-11-30,-2.5723000000000003
2017-12-01,5.8306000000000004
2017-12-04,8.0042
2017-12-05,-4.7161
2017-12-06,14.3434
2017-12-07,4.0636
2017-12-08,3.056
2017-12-11,-0.659
2017-12-12,9.0381
2017-12-13,-7.2243
2017-12-14,-13.6885
