ticker,ZG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-07-20,78.85
2011-07-21,-7.1848
2011-07-22,3.2229
2011-07-25,3.8809
2011-07-26,2.3371
2011-07-27,-7.8722
2011-07-28,1.0011
2011-07-29,-4.9558
2011-08-01,-6.2073
2011-08-02,-9.497
2011-08-03,4.1133
2011-08-04,-0.2283
2011-08-05,-0.88
2011-08-08,-7.3509
2011-08-09,7.1675
2011-08-10,-2.1102
2011-08-11,-1.3518
2011-08-12,-1.2963
2011-08-15,-4.2402
2011-08-16,-5.5643
2011-08-17,0.166
2011-08-18,-0.6214
2011-08-19,0.8754
2011-08-22,-0.9917
2011-08-23,2.1703
2011-08-24,7.2712
2011-08-25,15.1942
2011-08-26,3.7355
2011-08-29,5.29
2011-08-30,6.3257
2011-08-31,5.8355
2011-09-01,-0.7531
2011-09-02,-5.3117
2011-09-06,-1.9748
2011-09-07,5.3723
2011-09-08,-1.0252
2011-09-09,3.3875
2011-09-12,0.9342
2011-09-13,0.55
2011-09-14,-7.9242
2011-09-15,-10.6056
2011-09-16,-5.3809000000000005
2011-09-19,-1.4731
2011-09-20,-6.9193
2011-09-21,3.7355
2011-09-22,0.8282
2011-09-23,-4.0357
2011-09-26,-1.6002999999999998
2011-09-27,5.8623
2011-09-28,1.179
2011-09-29,-0.6003
2011-09-30,-2.8419
2011-10-03,-5.4845
2011-10-04,-1.354
2011-10-05,-0.0784
2011-10-06,1.4521
2011-10-07,-2.3211
2011-10-10,3.7624
2011-10-11,0.1527
2011-10-12,-2.8201
2011-10-13,-1.0588
2011-10-14,9.8692
2011-10-17,-4.8341
2011-10-18,9.3632
2011-10-19,-7.5563
2011-10-20,-0.2625
2011-10-21,1.6165
2011-10-24,1.7018
2011-10-25,-1.6733
2011-10-26,7.3992
2011-10-27,5.9938
2011-10-28,-0.845
2011-10-31,-2.6875999999999998
2011-11-01,-10.3065
2011-11-02,3.1168
2011-11-03,10.1602
2011-11-04,7.8678
2011-11-07,-0.3371
2011-11-08,-0.5228
2011-11-09,-9.3045
2011-11-10,2.1813
2011-11-11,0.3002
2011-11-14,-4.9884
2011-11-15,3.0802
2011-11-16,-0.9508
2011-11-17,-3.8053
2011-11-18,-3.5994
2011-11-21,-13.0499
2011-11-22,-2.0408
2011-11-23,-0.9983
2011-11-25,-0.9645
2011-11-28,0.5755
2011-11-29,-2.0687
2011-11-30,0.6292
2011-12-01,-3.3944
2011-12-02,1.988
2011-12-05,4.6238
2011-12-06,0.2166
