ticker,SWYDF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2001-12-07,146.6667
2001-12-10,-10.8108
2001-12-17,-3.0303
2001-12-31,71.875
2002-01-10,-29.0909
2002-01-16,15.3846
2002-01-18,12.2222
2002-01-23,-8.9109
2002-01-31,6.5217
2002-02-07,-5.0383
2002-02-08,-10.7455
2002-02-11,4.7404
2002-02-12,-2.7586
2002-03-04,-13.948
2002-03-28,7.1429
2002-04-09,-5.1282
2002-04-10,10.8108
2002-04-11,-6.0976
2002-04-12,11.6883
2002-04-15,-4.6512
2002-04-16,-0.2439
2002-04-17,6.846
2002-04-19,-2.746
2002-04-26,-15.8824
2002-05-01,7.6923
2002-05-02,-6.4935
2002-05-03,0.0
2002-05-06,-8.3333
2002-05-07,6.0606
2002-05-08,8.5714
2002-05-15,1.3158
2002-05-17,16.8831
2002-05-21,-4.4444
2002-05-22,1.1628
2002-05-28,-12.6437
2002-06-03,-1.3158
2002-06-05,-13.0667
2002-06-06,1.227
2002-06-10,-3.0303
2002-06-12,-3.2422
2002-06-14,13.04
2002-06-20,-15.7143
2002-06-21,1.6949
2002-06-26,10.1667
2002-07-03,-18.3056
2002-07-08,-6.8519
2002-07-09,10.5368
2002-07-11,-10.0719
2002-07-17,-4.0
2002-07-23,1.25
2002-07-29,-19.7531
2002-08-22,-25.1282
2002-09-03,13.0137
2002-09-11,-6.6667
2002-10-02,-41.5584
2002-10-29,33.3333
2002-11-15,33.3333
2002-12-06,21.875
2002-12-09,2.5641
2002-12-16,2.4375
2003-01-09,-2.3795
2003-02-03,205.0
2003-02-04,-4.918
2003-02-13,-2.1875
2003-02-14,26.2422
2003-02-18,24.9673
2003-02-19,6.1453
2003-02-20,-11.5789
2003-02-21,16.6667
2003-02-24,13.2653
2003-02-25,-9.009
2003-02-26,3.9604
2003-02-27,-5.7143
2003-02-28,1.0101
2003-03-04,-10.5
2003-03-06,-2.2346
2003-03-07,-4.0
2003-03-10,9.5238
2003-03-11,-6.5217
2003-03-13,-1.1628
2003-03-14,-4.1176
2003-03-18,1.8405
2003-03-19,1.2048
2003-03-21,-11.4509
2003-04-01,15.6205
2003-04-02,6.9767
2003-04-04,0.0
2003-04-07,-2.7174
2003-04-11,-10.6145
2003-04-17,7.5
2003-04-21,4.0698
2003-04-23,-10.6145
2003-04-24,0.0
2003-04-25,-1.25
2003-04-28,0.6329
2003-04-29,-2.7673
2003-05-05,22.8978
2003-05-08,6.8421
2003-05-14,12.8079
2003-05-15,0.0
