ticker,ATCV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2002-02-05,-4.0
2002-02-06,-16.6667
2002-02-07,-12.5
2002-02-08,7.1429
2002-02-11,4.0
2002-02-12,-10.5128
2002-02-13,-2.5788
2002-02-14,16.1765
2002-02-15,1.2658
2002-02-19,-1.25
2002-02-20,-3.7975
2002-02-21,-2.8947000000000003
2002-02-22,-9.4851
2002-02-25,-23.6527
2002-02-26,-1.9607999999999999
2002-02-27,12.0
2002-02-28,10.7143
2002-03-01,3.2258
2002-03-04,7.8125
2002-03-05,4.3478
2002-03-06,6.9444
2002-03-07,3.8961
2002-03-08,1.25
2002-03-11,-5.4321
2002-03-12,-2.0888
2002-03-13,2.6667
2002-03-14,-9.0909
2002-03-15,12.857099999999999
2002-03-18,-2.5316
2002-03-19,-0.5195
2002-03-20,8.8773
2002-03-21,-0.4796
2002-03-22,2.4096
2002-03-25,-1.8824
2002-03-26,-0.4796
2002-03-27,-2.4096
2002-03-28,0.2469
2002-04-01,-1.4778
2002-04-02,0.0
2002-04-03,1.25
2002-04-04,-0.2469
2002-04-05,-2.9703
2002-04-08,-3.5714
2002-04-09,-29.1005
2002-04-10,2.6119
2002-04-11,-5.4545
2002-04-12,1.9231
2002-04-15,-7.5472
2002-04-16,2.0408
2002-04-17,10.0
2002-04-18,-4.3636
2002-04-19,13.6882
2002-04-22,3.6789
2002-04-23,-3.2258
2002-04-24,-3.0
2002-04-25,0.0
2002-04-26,-8.9347
2002-04-29,-9.434
2002-04-30,14.5833
2002-05-01,1.8182
2002-05-02,-0.7143
2002-05-03,11.8705
2002-05-06,-0.3215
2002-05-07,-0.3226
2002-05-08,3.5599
2002-05-09,-2.1875
2002-05-10,-2.2364
2002-05-13,-3.5948
2002-05-14,1.1864
2002-05-15,0.1675
2002-05-16,-3.01
2002-05-17,1.0345
2002-05-20,-1.3652
2002-05-21,-1.7301
2002-05-22,-3.169
2002-05-23,-7.2727
2002-05-24,3.5294
2002-05-28,11.3636
2002-05-29,2.0408
2002-05-30,-5.0
2002-05-31,2.4561
2002-06-03,-1.9863
2002-06-04,1.3277
2002-06-05,-1.7241
2002-06-06,2.1053
2002-06-07,-1.3746
2002-06-10,-3.1359
2002-06-11,5.036
2002-06-12,-1.3699
2002-06-13,0.0
2002-06-14,0.3472
2002-06-17,0.346
2002-06-18,0.6897
2002-06-19,-1.0274
2002-06-20,-3.1142
2002-06-21,6.0714
2002-06-24,1.0101
2002-06-25,-5.3333
2002-06-26,1.0563
