ticker,BPSR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-01-21,172.7273
2015-01-28,3.3333
2015-02-05,-3.2258
2015-02-06,2.7333
2015-03-04,-18.8838
2015-03-25,0.0
2015-04-17,-16.0
2015-06-03,42.8571
2015-06-04,33.3333
2015-06-17,-20.0
2015-06-19,40.625
2015-06-23,-22.2222
2015-06-26,14.2857
2015-06-30,50.0
2015-07-01,8.3333
2015-07-10,69.2308
2015-07-23,27.2727
2015-07-28,0.0
2015-07-29,0.0
2015-07-30,7.1429
2015-07-31,-6.6667
2015-08-03,2.1429
2015-08-04,-5.5944
2015-08-05,0.0
2015-08-06,-11.2593
2015-08-07,-8.1803
2015-08-10,-9.0909
2015-08-12,-15.0
2015-09-02,-5.8824
2015-09-15,22.5
2015-09-16,2.0408
2015-09-21,332.0
2015-09-22,-17.5
2015-09-24,-24.2424
2015-09-25,6.6667
2015-09-28,24.375
2015-10-01,-24.6231
2015-10-02,18.6667
2015-10-05,-15.7303
2015-10-06,-9.3333
2015-10-08,32.3529
2015-10-09,-8.3333
2015-11-04,-20.0
2015-11-05,0.0
2015-11-23,21.2121
2015-12-09,0.0
2015-12-14,-35.0
2015-12-16,-3.8462
2015-12-17,0.0
2015-12-21,6.0
2015-12-24,0.0
2015-12-28,0.0
2015-12-29,-0.059
2015-12-30,0.059
2016-01-04,0.0
2016-01-05,-0.059
2016-01-08,0.059
2016-01-11,0.0
2016-01-12,-15.0943
2016-01-13,17.7778
2016-01-14,0.0
2016-01-19,0.0
2016-01-20,-5.6604
2016-01-21,0.0
2016-01-28,-3.0
2016-01-29,2.0619
2016-02-01,1.0101
2016-02-02,2.0
2016-02-03,1.9607999999999999
2016-02-04,0.0
2016-02-05,1.9231
2016-02-08,0.0
2016-02-09,-1.8868
2016-02-10,5.7692
2016-02-11,5.4545
2016-02-12,6.7241
2016-02-16,7.5929
2016-02-17,8.6618
2016-02-18,2.2541
2016-02-19,1.3514
2016-02-22,5.0667
2016-02-23,5.3299
2016-02-24,8.4337
2016-02-25,7.7778
2016-02-26,11.3402
2016-02-29,-28.7037
2016-03-01,-2.5974
2016-03-02,0.0
2016-03-03,26.6667
2016-03-04,-5.2632
2016-03-07,4.4444
2016-03-08,-9.5745
2016-03-09,-4.1176
2016-03-10,-14.1104
2016-03-11,-4.2857
2016-03-14,-4.4776
2016-03-15,-6.25
2016-03-16,-16.6667
2016-03-17,-12.0
2016-03-18,-0.0284
2016-03-21,-12.5604
2016-03-22,-19.402
