ticker,GNTW US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-02-06,0.0
2015-07-13,30.0
2015-10-14,0.0
2015-10-21,0.0
2015-11-13,0.0
2016-01-21,-38.4615
2016-04-07,-6.25
2016-08-15,6.6667
2016-08-18,-1.4375
2016-08-19,1.4585
2016-08-26,62.5
2016-08-30,-19.2308
2016-09-08,0.0
2016-09-09,0.0
2016-09-12,0.0
2016-09-13,-1.8094999999999999
2016-09-14,-12.7061
2016-09-19,16.4097
2016-09-20,5.9475999999999996
2016-09-21,2.7027
2016-09-22,4.386
2016-09-23,5.042
2016-09-26,1.6
2016-09-27,0.0
2016-09-28,2.3622
2016-09-29,0.0
2016-09-30,5.5385
2016-10-03,-14.723
2016-10-04,12.8205
2016-10-05,3.4375
2016-10-06,4.0099
2016-10-10,-14.7962
2016-10-11,5.7851
2016-10-12,4.6875
2016-10-13,-2.2388
2016-10-14,4.5802
2016-10-17,2.1989
2016-10-18,2.1337
2016-10-19,4.1958
2016-10-20,2.6846
2016-10-21,2.6062
2016-10-24,0.645
2016-10-25,0.0
2016-10-26,0.0
2016-10-27,-1.2658
2016-10-28,0.641
2016-10-31,-5.7325
2016-11-01,-6.7652
2016-11-02,-27.5297
2016-11-03,-60.0063
2016-11-04,54.993
2016-11-07,9.6995
2016-11-08,0.0
2016-11-09,-7.3529
2016-11-10,4.7619
2016-11-11,4.5455
2016-11-14,8.6957
2016-11-15,0.0
2016-11-16,6.6667
2016-11-17,3.75
2016-11-18,-8.4337
2016-11-21,2.6316
2016-11-22,4.1667
2016-11-23,-2.7692
2016-11-25,0.6329
2016-11-28,-0.6447
2016-11-29,-11.3784
2016-11-30,0.0
2016-12-01,2.8571
2016-12-02,5.0781
2016-12-05,3.0979
2016-12-06,-0.016
2016-12-07,-21.1412
2016-12-08,-2.439
2016-12-09,-8.3333
2016-12-12,-12.7273
2016-12-13,-24.0495
2016-12-14,0.0343
2016-12-15,6.9409
2016-12-16,-5.1282
2016-12-19,-10.8108
2016-12-20,-3.0682
2016-12-21,1.9343
2016-12-22,7.8014
2016-12-23,0.0
2016-12-27,-22.5462
2016-12-28,-8.1726
2016-12-29,4.0
2016-12-30,-11.538499999999999
2017-01-03,43.4783
2017-01-04,-30.303
2017-01-05,-4.3478
2017-01-06,27.2727
2017-01-09,-13.1696
2017-01-10,-9.3059
2017-01-11,8.8435
2017-01-12,-6.3802
2017-01-13,6.8149999999999995
2017-01-17,-6.1979
2017-01-18,-2.2765
2017-01-19,-13.6364
