ticker,PRHL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-05-09,19.6078
2011-07-13,-59.0164
2011-07-14,304.0
2011-07-15,-0.9901
2011-08-23,-1.0
2011-09-06,-54.5455
2011-09-08,124.4444
2011-09-12,0.0
2011-09-15,0.0
2011-09-19,0.0
2011-09-20,0.9901
2011-09-22,-0.9804
2011-09-26,0.0
2011-09-28,48.5149
2011-09-29,-32.6667
2011-10-18,-0.9901
2011-10-25,15.0
2011-10-27,30.4348
2011-11-03,33.3333
2011-11-16,12.5
2011-12-23,-11.1111
2011-12-28,25.0
2011-12-30,0.0
2012-01-03,0.0
2012-01-05,4.0
2012-01-09,5.3846
2012-01-12,-5.1095
2012-01-13,7.6923
2012-01-17,5.3571
2012-01-19,1.3559
2012-01-23,0.3344
2012-01-25,3.3333
2012-01-26,-0.3226
2012-01-27,0.0
2012-02-02,0.3236
2012-02-07,-11.2903
2012-02-09,70.9091
2012-02-14,38.2979
2012-02-24,-42.3077
2012-03-01,25.3333
2012-03-06,-20.2128
2012-04-09,-2.6667
2012-04-13,1.0959
2012-04-20,-45.7995
2012-04-23,0.0
2012-04-24,0.0
2012-04-25,87.5
2012-04-26,1.3333
2012-04-30,-1.3158
2012-05-01,2.6667
2012-05-02,3.8961
2012-05-03,5.0
2012-05-04,0.0
2012-05-07,13.0952
2012-05-08,0.0
2012-05-09,-6.3158
2012-05-10,-4.4944
2012-05-11,8.2353
2012-05-14,6.5217
2012-05-15,2.0408
2012-05-16,0.0
2012-05-17,2.0
2012-05-18,0.0
2012-05-21,0.0
2012-05-22,2.9412000000000003
2012-05-23,0.0
2012-05-24,6.6667
2012-05-25,16.0714
2012-05-29,-12.3077
2012-05-30,22.807
2012-05-31,-5.0
2012-06-01,1.5038
2012-06-04,-7.4074
2012-06-05,16.0
2012-06-06,3.4483
2012-06-07,-6.6667
2012-06-08,0.0
2012-06-11,-4.2857
2012-06-12,4.4776
2012-06-13,-3.5714
2012-06-14,0.0
2012-06-15,0.0
2012-06-18,0.0
2012-06-19,-7.4074
2012-06-20,0.0
2012-06-21,10.4
2012-06-22,-2.8986
2012-06-25,-6.7164
2012-06-26,-6.4
2012-06-27,2.5641
2012-06-28,6.6667
2012-06-29,-0.7813
2012-07-02,-2.3622
2012-07-03,-7.2581
2012-07-05,-1.7391
2012-07-06,-4.4248
2012-07-09,-7.4074
2012-07-10,-14.0
2012-07-11,-36.0465
2012-07-12,-41.8182
2012-07-13,9.375
2012-07-16,16.8571
