ticker,LADR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-02-06,-0.0588
2014-02-07,1.8246
2014-02-10,1.0983
2014-02-11,-1.0863
2014-02-12,-2.4277
2014-02-13,2.7251
2014-02-14,-0.519
2014-02-18,-1.6232
2014-02-19,-0.1179
2014-02-20,-1.7699
2014-02-21,1.6817
2014-02-24,1.0041
2014-02-25,1.1696
2014-02-26,-2.7746
2014-02-27,0.654
2014-02-28,0.4135
2014-03-03,-1.0
2014-03-04,1.3072
2014-03-05,-1.2317
2014-03-06,2.6128
2014-03-07,7.6389
2014-03-10,-0.1075
2014-03-11,0.915
2014-03-12,0.5333
2014-03-13,-1.3263
2014-03-14,1.8817
2014-03-17,-2.4802
2014-03-18,2.5433
2014-03-19,-0.4222
2014-03-20,-0.265
2014-03-21,-2.7099
2014-03-24,3.1677
2014-03-25,0.5823
2014-03-26,-3.1053
2014-03-27,0.2716
2014-03-28,0.7042
2014-03-31,1.56
2014-04-01,2.3835
2014-04-02,-0.5691
2014-04-03,0.7284
2014-04-04,-1.2397
2014-04-07,-2.8766
2014-04-08,-0.4308
2014-04-09,5.3002
2014-04-10,-2.9276
2014-04-11,-4.0741
2014-04-14,0.0552
2014-04-15,-0.5513
2014-04-16,2.2173
2014-04-17,0.0
2014-04-21,-0.5423
2014-04-22,-0.7634
2014-04-23,-0.2747
2014-04-24,-1.3774
2014-04-25,-1.2849
2014-04-28,-0.1132
2014-04-29,0.3966
2014-04-30,0.9594
2014-05-01,-1.0061
2014-05-02,1.2422
2014-05-05,1.952
2014-05-06,-2.2429
2014-05-07,-0.8954
2014-05-08,-1.2422
2014-05-09,-0.9148
2014-05-12,-0.0577
2014-05-13,0.5774
2014-05-14,-1.837
2014-05-15,-1.0526
2014-05-16,0.7092
2014-05-19,0.7042
2014-05-20,-3.0303
2014-05-21,0.8413
2014-05-22,2.205
2014-05-23,0.5831
2014-05-27,1.8551
2014-05-28,2.1628
2014-05-29,-1.8942
2014-05-30,5.3379
2014-06-02,2.5337
2014-06-03,1.1567
2014-06-04,1.2474
2014-06-05,0.77
2014-06-06,0.6113
2014-06-09,-0.7089
2014-06-10,-0.357
2014-06-11,0.4094
2014-06-12,-0.6116
2014-06-13,0.2564
2014-06-16,-1.7903
2014-06-17,0.9375
2014-06-18,-0.5676
2014-06-19,-1.2455
2014-06-20,-1.3663
2014-06-23,-0.5328
2014-06-24,-3.053
2014-06-25,0.9945
2014-06-26,-0.6018
2014-06-27,-0.3302
2014-06-30,-0.2209
