ticker,TORW US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-04,-1.2346
2000-01-05,12.5
2000-02-25,-11.1111
2000-02-29,2.5
2000-03-13,2.439
2000-03-16,-4.1667
2000-03-27,0.0
2000-04-10,2.795
2000-07-06,-2.1148
2000-11-06,6.3896
2001-01-31,0.7852
2001-02-21,4.6512
2001-02-26,2.2222
2001-06-18,4.2804
2001-09-06,4.9117
2003-04-23,61.7894
2003-07-01,1.7722
2003-07-31,10.0946
2003-10-13,9.1954
2003-12-11,0.0
2004-01-29,-5.6953
2004-02-11,0.0224
2004-02-12,3.0581
2004-02-20,3.2609
2004-02-23,-5.2632
2004-03-09,5.5556
2004-03-10,-2.1053
2004-04-07,-0.6908
2004-05-14,1.087
2004-10-21,3.4894
2004-11-02,0.0
2004-11-03,1.5707
2004-12-03,21.6495
2004-12-30,-12.4299
2005-02-08,-0.9709
2005-02-09,0.0
2005-02-10,0.098
2005-02-11,1.8609
2005-03-01,-0.9615
2005-04-13,0.3703
2005-04-19,-0.9709
2005-04-28,0.9804
2005-04-29,0.0
2005-05-10,-7.767
2005-05-11,1.0526
2005-05-13,-1.0417
2005-05-16,5.2632
2005-05-18,3.0
2005-06-15,-6.6019
2005-06-20,-0.2079
2005-06-28,7.7181
2005-07-07,-12.4272
2005-07-15,10.8647
2005-08-02,-6.0
2005-08-22,2.1277
2005-09-08,4.1667
2005-09-21,10.419599999999999
2005-12-20,-3.7057
2006-03-02,1.4218
2006-03-17,0.6475
2006-04-11,-0.4196
2006-04-12,1.1236
2006-05-02,-0.7407
2006-07-11,0.2248
2006-07-20,2.8037
2006-08-01,-1.8182
2006-08-17,0.0
2006-08-28,0.0
2006-09-20,0.4091
2007-02-27,2.4735
2007-03-01,1.6334
2007-07-09,2.6287000000000003
2007-07-23,7.0175
2007-09-25,1.2013
2007-10-01,-1.187
2007-10-03,2.024
2008-06-09,3.252
2008-06-11,0.0
2008-06-12,-1.1811
2008-08-05,1.6
2008-10-09,-2.3715
2009-01-02,2.4723
2009-03-06,1.5873
2009-03-10,1.5625
2009-04-08,-5.7623999999999995
2009-04-14,6.5574
2009-04-24,1.5385
2010-07-27,4.5053
2010-10-01,0.5803
2010-10-27,1.4835
2010-12-14,-0.4414
2010-12-15,0.0
2011-01-18,0.0589
2011-02-04,-1.1764999999999999
2011-02-09,2.6786
2011-03-22,-0.233
2011-03-23,1.4599
2011-04-27,-1.0791
2011-05-06,-0.5091
2011-05-26,0.8772
2011-07-07,-0.9613
