ticker,AKBA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-03-21,-11.2193
2014-03-24,-14.767900000000001
2014-03-25,-0.9901
2014-03-26,-5.2
2014-03-27,2.1624
2014-03-28,3.2525
2014-03-31,-2.2
2014-04-01,5.1125
2014-04-02,6.4202
2014-04-03,-12.4771
2014-04-04,-3.342
2014-04-07,-2.7553
2014-04-08,1.7222
2014-04-09,3.167
2014-04-10,-2.1698
2014-04-11,-8.7662
2014-04-14,25.3855
2014-04-15,5.298
2014-04-16,10.9614
2014-04-17,5.6274999999999995
2014-04-21,3.6412
2014-04-22,-5.7322
2014-04-23,-2.8246
2014-04-24,-7.9935
2014-04-25,0.9215
2014-04-28,0.0
2014-04-29,5.0435
2014-04-30,0.8692
2014-05-01,2.0107
2014-05-02,-3.4191
2014-05-05,-1.1662
2014-05-06,-3.1184
2014-05-07,0.2175
2014-05-08,-0.6944
2014-05-09,-2.9283
2014-05-12,0.8104
2014-05-13,2.8584
2014-05-14,-0.9987
2014-05-15,-5.614
2014-05-16,0.0465
2014-05-19,-1.8114
2014-05-20,0.9461
2014-05-21,4.1706
2014-05-22,3.1489
2014-05-23,-0.7414
2014-05-27,0.5272
2014-05-28,0.6119
2014-05-29,2.5629999999999997
2014-05-30,2.9225
2014-06-02,1.4403000000000001
2014-06-03,6.7343
2014-06-04,0.2281
2014-06-05,1.3652
2014-06-06,0.4489
2014-06-09,5.4376
2014-06-10,-0.8831
2014-06-11,-1.7463
2014-06-12,-0.2539
2014-06-13,0.5818
2014-06-16,-2.4584
2014-06-17,-0.2224
2014-06-18,3.2689
2014-06-19,-1.8705
2014-06-20,6.9282
2014-06-23,-1.6798
2014-06-24,-5.1953
2014-06-25,5.2593
2014-06-26,1.5373999999999999
2014-06-27,-1.6173
2014-06-30,-2.7982
2014-07-01,0.8276
2014-07-02,-0.8922
2014-07-03,1.0083
2014-07-07,-9.1622
2014-07-08,-4.8666
2014-07-09,-2.6403
2014-07-10,2.839
2014-07-11,2.0602
2014-07-14,1.9782
2014-07-15,-3.6817
2014-07-16,-1.5619
2014-07-17,-1.9207
2014-07-18,0.3406
2014-07-21,-1.9516
2014-07-22,0.6923
2014-07-23,-0.3438
2014-07-24,1.9405000000000001
2014-07-25,-1.1844000000000001
2014-07-28,-4.4092
2014-07-29,4.0752
2014-07-30,-1.7212
2014-07-31,-3.0648
2014-08-01,-3.1617
2014-08-04,-2.7984999999999998
2014-08-05,0.1919
2014-08-06,3.3045999999999998
2014-08-07,-2.5035
