ticker,LKNCY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-05-17,19.8824
2019-05-20,-8.685
2019-05-21,-6.878
2019-05-22,-14.8875
2019-05-23,7.0508
2019-05-24,-2.9766
2019-05-28,5.1567
2019-05-29,7.0764
2019-05-30,7.2464
2019-05-31,8.6486
2019-06-03,2.6368
2019-06-04,-4.0717
2019-06-05,-5.7605
2019-06-06,-5.2011
2019-06-07,7.4094999999999995
2019-06-10,-2.8436
2019-06-11,-4.607
2019-06-12,3.3523
2019-06-13,-1.2644
2019-06-14,7.0713
2019-06-17,10.0884
2019-06-18,-2.2201
2019-06-19,-3.6715
2019-06-20,-0.7523
2019-06-21,-3.335
2019-06-24,-4.9137
2019-06-25,-0.7697
2019-06-26,0.0
2019-06-27,1.9391
2019-06-28,5.9239
2019-07-01,-1.7957999999999998
2019-07-02,-1.8809
2019-07-03,2.9286
2019-07-05,1.3451
2019-07-08,-2.3481
2019-07-09,-1.0455
2019-07-10,0.0528
2019-07-11,2.9039
2019-07-12,-0.4105
2019-07-15,8.1401
2019-07-16,-4.1448
2019-07-17,-3.0318
2019-07-18,2.2553
2019-07-19,0.5013
2019-07-22,7.8304
2019-07-23,8.2331
2019-07-24,-1.1966
2019-07-25,-0.519
2019-07-26,8.3478
2019-07-29,6.6613
2019-07-30,-7.9383
2019-07-31,-0.7356
2019-08-01,-2.5525
2019-08-02,5.2387
2019-08-05,-8.6712
2019-08-06,0.7033
2019-08-07,0.873
2019-08-08,4.3271
2019-08-09,7.5902
2019-08-12,-5.2043
2019-08-13,-0.1627
2019-08-14,-16.7413
2019-08-15,1.1742
2019-08-16,-5.4159
2019-08-19,-3.4765
2019-08-20,-0.4237
2019-08-21,3.7766
2019-08-22,-1.5889
2019-08-23,-2.1354
2019-08-26,0.8515
2019-08-27,2.7968
2019-08-28,7.9569
2019-08-29,-0.428
2019-08-30,0.7641
2019-09-03,-5.4028
2019-09-04,-2.004
2019-09-05,3.2209
2019-09-06,1.9811999999999999
2019-09-09,4.711
2019-09-10,-3.4787
2019-09-11,-1.3455
2019-09-12,2.4355
2019-09-13,4.6125
2019-09-16,2.3636
2019-09-17,1.2433
2019-09-18,-6.6667
2019-09-19,1.2688
2019-09-20,-0.464
2019-09-23,0.2797
2019-09-24,-5.9972
2019-09-25,0.7418
2019-09-26,-1.0309
2019-09-27,-5.7044
2019-09-30,-0.0526
2019-10-01,-1.2105
2019-10-02,-2.9835000000000003
2019-10-03,3.844
2019-10-04,1.9566
