ticker,SAGE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-07-18,67.2222
2014-07-21,-0.3322
2014-07-22,-8.0333
2014-07-23,-0.3262
2014-07-24,-1.3091
2014-07-25,-2.5792
2014-07-28,-2.0802
2014-07-29,-0.1159
2014-07-30,6.7285
2014-07-31,2.2464
2014-08-01,5.4217
2014-08-04,1.6806999999999999
2014-08-05,-3.8678
2014-08-06,3.542
2014-08-07,-0.9631
2014-08-08,0.4695
2014-08-11,11.482
2014-08-12,-4.7605
2014-08-13,-7.0104
2014-08-14,-2.6031
2014-08-15,-5.3107
2014-08-18,-1.0264
2014-08-19,9.0
2014-08-20,-0.9854
2014-08-21,-0.4804
2014-08-22,0.0
2014-08-25,0.5862
2014-08-26,2.0226
2014-08-27,-2.2849
2014-08-28,1.2036
2014-08-29,-1.7328999999999999
2014-09-02,2.3167
2014-09-03,1.487
2014-09-04,-2.5974
2014-09-05,-1.5726
2014-09-08,-4.8628
2014-09-09,5.6955
2014-09-10,1.5544
2014-09-11,1.3605
2014-09-12,-4.1611
2014-09-15,0.6303
2014-09-16,-0.5219
2014-09-17,-2.2036
2014-09-18,2.3247
2014-09-19,-5.3827
2014-09-22,-2.1057
2014-09-23,11.5472
2014-09-24,0.0677
2014-09-25,-1.7917999999999998
2014-09-26,2.8916
2014-09-29,6.4905
2014-09-30,-1.0368
2014-10-01,0.3175
2014-10-02,5.7595
2014-10-03,14.3926
2014-10-06,-10.6722
2014-10-07,-2.1669
2014-10-08,8.0515
2014-10-09,-4.6537
2014-10-10,-3.0506
2014-10-13,-2.6071
2014-10-14,-4.7385
2014-10-15,0.969
2014-10-16,-2.4312
2014-10-17,4.2951
2014-10-20,9.6825
2014-10-21,9.2577
2014-10-22,-11.2015
2014-10-23,4.9631
2014-10-24,8.2747
2014-10-27,-0.8578
2014-10-28,3.9067
2014-10-29,-2.5233
2014-10-30,1.1131
2014-10-31,0.1536
2014-11-03,-0.5879
2014-11-04,0.2828
2014-11-05,-0.6923
2014-11-06,0.6971
2014-11-07,-0.7179
2014-11-10,-4.468
2014-11-11,-8.1373
2014-11-12,3.1783
2014-11-13,0.0
2014-11-14,1.0839
2014-11-17,3.9503
2014-11-18,0.0271
2014-11-19,-0.3256
2014-11-20,0.9801
2014-11-21,0.5123
2014-11-24,5.7672
2014-11-25,1.9527999999999999
2014-11-26,-1.9154
2014-11-28,0.279
2014-12-01,-4.5018
2014-12-02,4.3697
2014-12-03,6.7749
2014-12-04,1.8774
