ticker,MKD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-12-31,-12.4542
2020-01-02,-8.5774
2020-01-03,-0.4577
2020-01-06,3.6782
2020-01-07,6.4302
2020-01-08,-10.0
2020-01-09,1.7824
2020-01-10,-4.7078
2020-01-13,5.7279
2020-01-14,-6.3205
2020-01-15,3.3735
2020-01-16,-3.0303
2020-01-17,4.3269
2020-01-21,8.0645
2020-01-22,-2.9851
2020-01-23,-4.3956
2020-01-24,-2.2989
2020-01-27,1.1764999999999999
2020-01-28,-2.3256
2020-01-29,-2.6189999999999998
2020-01-30,-10.5134
2020-01-31,-6.8306000000000004
2020-02-03,-0.8798
2020-02-04,0.5917
2020-02-05,-0.5882
2020-02-06,-4.1124
2020-02-07,1.0768
2020-02-10,-7.198
2020-02-11,0.3256
2020-02-12,-3.2787
2020-02-13,-6.4407
2020-02-14,1.4493
2020-02-18,6.0714
2020-02-19,3.4209
2020-02-20,0.2735
2020-02-21,-1.9481000000000002
2020-02-24,12.2517
2020-02-25,-8.5546
2020-02-26,5.8065
2020-02-27,-7.9268
2020-02-28,-3.3113
2020-03-02,5.4692
2020-03-03,-6.1597
2020-03-04,6.5744
2020-03-05,-12.3377
2020-03-06,4.8148
2020-03-09,-25.0883
2020-03-10,9.9057
2020-03-11,-18.8841
2020-03-12,-2.1164
2020-03-13,-8.9351
2020-03-16,-3.8404
2020-03-17,1.358
2020-03-18,-2.2533
2020-03-19,14.0187
2020-03-20,-9.2896
2020-03-23,5.4217
2020-03-24,12.0
2020-03-25,6.1224
2020-03-26,-4.3269
2020-03-27,-1.8342
2020-03-30,1.2132
2020-03-31,-2.893
2020-04-01,-2.3438
2020-04-02,-4.0
2020-04-03,-3.3333
2020-04-06,-8.6207
2020-04-07,-1.7736
2020-04-08,-0.7555
2020-04-09,3.5484
2020-04-13,13.3956
2020-04-14,-2.7088
2020-04-15,-2.0162
2020-04-16,-4.8991
2020-04-17,1.8182
2020-04-20,2.9107
2020-04-21,1.7988
2020-04-22,42.0455
2020-04-23,-14.0
2020-04-24,-4.186
2020-04-27,-4.6117
2020-04-28,-0.7634
2020-04-29,-2.5487
2020-04-30,-2.1681
2020-05-01,-2.1032
2020-05-04,0.7363
2020-05-05,-2.9126
2020-05-06,1.6854
2020-05-07,-2.7624
2020-05-08,5.1307
2020-05-11,-1.9078
2020-05-12,-1.9889999999999999
2020-05-13,3.9969
2020-05-14,0.0
2020-05-15,-1.6216
2020-05-18,-3.8462
2020-05-19,2.2857
2020-05-20,-5.0279
2020-05-21,0.0059
2020-05-22,-8.8289
2020-05-26,1.929
2020-05-27,4.437
2020-05-28,-3.0242
2020-05-29,2.4936
2020-06-01,-1.8293
2020-06-02,3.1056
2020-06-03,0.0
2020-06-04,18.6747
2020-06-05,11.1675
2020-06-08,-9.3151
2020-06-09,-3.8167
2020-06-10,2.6071
2020-06-11,-6.1224
2020-06-12,-4.8913
2020-06-15,-3.4286
2020-06-16,2.9645
2020-06-17,20.108
2020-06-18,15.311
2020-06-19,-2.9046
2020-06-22,-12.8205
2020-06-23,0.0
2020-06-24,-3.9215999999999998
2020-06-25,-3.0612
2020-06-26,0.5
2020-06-29,46.6352
2020-06-30,5.3571
2020-07-01,-18.3051
2020-07-02,-5.2656
2020-07-06,2.4922
2020-07-07,-3.4188
2020-07-08,12.292
2020-07-09,-5.4299
2020-07-10,0.0
2020-07-13,5.4167
2020-07-14,-5.419
2020-07-15,5.3115
2020-07-16,6.746
2020-07-17,6.6914
2020-07-20,16.7247
2020-07-21,-2.9851
2020-07-22,-10.461500000000001
2020-07-23,-10.3093
2020-07-24,-9.9617
2020-07-27,2.5532
2020-07-28,-4.9793
2020-07-29,0.4367
2020-07-30,1.3043
2020-07-31,-5.5794
