ticker,NTOX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-12-22,1100.0
2015-09-25,150.0
2015-11-18,33.3333
2015-11-20,-37.5
2015-12-23,0.0
2016-01-07,0.0
2016-09-07,4.0
2017-07-17,-76.9231
2017-07-18,0.0
2017-07-19,0.0
2017-07-24,0.0
2017-07-27,0.0
2017-10-16,150.0
2017-10-23,0.0
2017-11-28,-56.6667
2017-11-30,130.7692
2017-12-21,26.6667
2018-01-03,0.0
2018-04-02,-21.0526
2018-04-03,33.3333
2018-09-05,-1.0
2018-12-06,0.0
2019-02-19,38.3838
2019-07-24,-1.4599
2019-07-25,38.8889
2019-08-05,6.6667
2019-08-14,12.5
2019-12-04,-59.9978
2019-12-05,99.4334
2019-12-16,0.5571
2019-12-23,0.0
2020-02-27,-37.6731
2020-04-30,-55.1111
2020-05-01,-85.1485
2020-05-21,1393.3333
2020-05-26,0.0
2020-07-22,0.4464
2020-07-23,-0.4444
2020-07-24,-8.482099999999999
