ticker,RVIV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-12-04,-4.5455
2018-12-06,12.381
2018-12-17,-6.7797
2018-12-20,-9.0909
2019-01-11,-40.0
2019-01-14,0.0
2019-01-23,0.0
2019-01-29,0.0
2019-01-30,0.0
2019-02-04,6.6667
2019-02-11,56.25
2019-02-22,5.0
2019-03-12,-42.8571
2019-03-18,0.0
2019-03-19,33.3333
2019-04-08,2.5
2019-04-11,-8.5366
2019-04-16,6.6667
2019-04-26,0.0
2019-05-02,-6.25
2019-05-03,2.6667
2019-05-06,-6.4935
2019-05-07,8.3333
2019-05-08,0.0
2019-05-09,-1.2821
2019-05-10,1.2987
2019-05-13,2.5641
2019-05-14,-2.5
2019-05-15,0.0
2019-05-16,3.8462
2019-05-17,2.4691
2019-05-21,0.0
2019-05-22,0.0
2019-05-23,0.0
2019-05-24,-3.7952
2019-05-29,-2.3168
2019-05-30,0.0
2019-05-31,3.8462
2019-06-05,1.2346
2019-06-06,-12.9878
2019-06-07,13.5249
2019-06-10,-7.4074
2019-06-11,-6.6667
2019-06-12,-5.0286
2019-06-13,6.799
2019-06-14,0.0
2019-06-18,-1.4085
2019-06-19,-1.4285999999999999
2019-06-20,-1.4405999999999999
2019-06-24,2.9321
2019-06-27,0.0021
2019-07-08,1.4264000000000001
2019-07-10,-15.493
2019-07-11,60.0
2019-07-12,4.1667
2019-07-17,5.0
2019-07-18,-4.7619
2019-07-24,-10.0
2019-07-25,11.1111
2019-07-30,-13.0
2019-07-31,-2.2989
2019-08-02,-2.5294
2019-08-05,0.1811
2019-08-07,1.2048
2019-08-09,-11.3095
2019-08-12,-0.6711
2019-08-13,0.0
2019-08-14,0.0
2019-08-16,-1.8243
2019-08-20,-3.6475999999999997
2019-08-21,0.0
2019-08-22,0.0
2019-08-26,0.0
2019-08-27,-7.1429
2019-09-06,0.0
2019-09-09,13.8308
2019-09-10,-1.338
2019-09-11,-17.8082
2019-09-12,21.6667
2019-09-13,-25.274
2019-09-16,9.9908
2019-09-17,-13.3333
2019-09-18,13.461500000000001
2019-09-19,-6.9492
2019-09-20,-5.2823
2019-09-23,-1.9231
2019-09-24,17.647100000000002
2019-09-25,-0.0167
2019-09-26,-7.9013
2019-09-27,32.1267
2019-10-02,0.0
2019-10-03,-24.6575
2019-10-04,0.0
2019-10-07,-1.8182
2019-10-08,0.0
2019-10-09,-1.8519
2019-10-10,20.7547
2019-10-11,-1.5781
2019-10-14,-9.5094
2019-10-15,12.2807
