ticker,WNS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-07-26,22.5
2006-07-27,-0.8163
2006-07-28,1.6461000000000001
2006-07-31,1.6194
2006-08-01,-0.8367
2006-08-02,-0.5625
2006-08-03,-1.8182
2006-08-04,3.251
2006-08-07,-0.1594
2006-08-08,2.1955999999999998
2006-08-09,2.3047
2006-08-10,-0.8782
2006-08-11,-2.1572
2006-08-14,-1.5354
2006-08-15,-0.08
2006-08-16,2.8011
2006-08-17,-0.0779
2006-08-18,3.2333
2006-08-21,0.3774
2006-08-22,3.7594
2006-08-23,-2.5362
2006-08-24,-2.1189999999999998
2006-08-25,-2.0129
2006-08-28,2.5194
2006-08-29,1.7013
2006-08-30,0.3717
2006-08-31,-0.1852
2006-09-01,0.4082
2006-09-05,-0.9608
2006-09-06,-4.1045
2006-09-07,0.1946
2006-09-08,1.3592
2006-09-11,3.7165
2006-09-12,-1.1821
2006-09-13,1.0093
2006-09-14,0.5551
2006-09-15,2.466
2006-09-18,3.0172
2006-09-19,-0.6974
2006-09-20,3.5815
2006-09-21,-1.0169
2006-09-22,-4.4521
2006-09-25,-3.2258
2006-09-26,1.8519
2006-09-27,0.2545
2006-09-28,1.7772999999999999
2006-09-29,1.7463
2006-10-02,-0.7005
2006-10-03,-0.1764
2006-10-04,0.53
2006-10-05,2.2496
2006-10-06,-0.0688
2006-10-09,-1.4447999999999999
2006-10-10,4.712
2006-10-11,1.2
2006-10-12,-1.2187000000000001
2006-10-13,-0.967
2006-10-16,-2.0202
2006-10-17,-3.7801
2006-10-18,-0.2143
2006-10-19,-0.0716
2006-10-20,0.3582
2006-10-23,2.6052999999999997
2006-10-24,0.9739
2006-10-25,3.5825
2006-10-26,0.5986
2006-10-27,-0.8264
2006-10-30,-1.0
2006-10-31,0.1684
2006-11-01,-0.0672
2006-11-02,-1.0764
2006-11-03,-1.2581
2006-11-06,0.3788
2006-11-07,0.1715
2006-11-08,-0.7192
2006-11-09,-1.0348
2006-11-10,0.3137
2006-11-13,0.3127
2006-11-14,0.5888
2006-11-15,1.7906
2006-11-16,2.5034
2006-11-17,3.3663
2006-11-20,-0.6386
2006-11-21,0.8997
2006-11-22,2.6752000000000002
2006-11-24,1.6749
2006-11-27,3.1422
2006-11-28,1.5972
2006-11-29,-0.2911
2006-11-30,-1.0219
2006-12-01,0.885
2006-12-04,-3.3918
2006-12-05,0.9988
2006-12-06,-0.2697
2006-12-07,-3.3954
2006-12-08,0.9331
2006-12-11,-1.7565
