ticker,PENN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,5.5556
2000-01-04,-1.3158
2000-01-05,-1.3333
2000-01-06,-5.4054
2000-01-07,0.0
2000-01-10,-2.8571
2000-01-11,-1.4706000000000001
2000-01-12,0.7463
2000-01-13,-0.7407
2000-01-14,0.7463
2000-01-18,-0.7407
2000-01-19,1.4925
2000-01-20,-1.4706000000000001
2000-01-21,0.0
2000-01-24,0.0
2000-01-25,-2.9851
2000-01-26,-1.5385
2000-01-27,0.0
2000-01-28,0.7813
2000-01-31,1.5504
2000-02-01,2.2901
2000-02-02,-0.7463
2000-02-03,-0.7519
2000-02-04,0.0
2000-02-07,0.0
2000-02-08,-1.5152
2000-02-09,2.3077
2000-02-10,-3.7594
2000-02-11,3.125
2000-02-14,-1.5152
2000-02-15,3.0769
2000-02-16,-1.4925
2000-02-17,-1.5152
2000-02-18,-1.5385
2000-02-22,-0.7813
2000-02-23,0.7874
2000-02-24,-2.3438
2000-02-25,-4.0
2000-02-28,0.0
2000-02-29,-0.4167
2000-03-01,2.0921
2000-03-02,-3.2787
2000-03-03,0.0
2000-03-06,4.2373
2000-03-07,-8.1301
2000-03-08,5.7522
2000-03-09,3.7657
2000-03-10,3.2258
2000-03-13,-6.6406
2000-03-14,0.4184
2000-03-15,-4.1667
2000-03-16,0.4348
2000-03-17,-1.2987
2000-03-20,3.5088
2000-03-21,1.6949
2000-03-22,20.4167
2000-03-23,2.4221
2000-03-24,0.6757
2000-03-27,-2.0134
2000-03-28,8.2192
2000-03-29,6.962
2000-03-30,-4.142
2000-03-31,9.7222
2000-04-03,5.2039
2000-04-04,-0.5348
2000-04-05,1.0753
2000-04-06,9.5745
2000-04-07,-2.9126
2000-04-10,-7.0
2000-04-11,2.6882
2000-04-12,-1.5707
2000-04-13,-2.1277
2000-04-14,-7.6087
2000-04-17,2.3529
2000-04-18,5.7471
2000-04-19,6.5217
2000-04-20,7.1429
2000-04-24,0.4762
2000-04-25,-3.3175
2000-04-26,1.9607999999999999
2000-04-27,-0.9615
2000-04-28,-2.9126
2000-05-01,-1.0
2000-05-02,-4.5455
2000-05-03,1.5873
2000-05-04,-2.0833
2000-05-05,-1.0638
2000-05-08,0.0
2000-05-09,-0.5376
2000-05-10,-3.7838000000000003
2000-05-11,7.3034
2000-05-12,5.7592
2000-05-15,0.0
2000-05-16,0.0
2000-05-17,2.9703
2000-05-18,-1.9231
2000-05-19,0.0
2000-05-22,-1.4706000000000001
2000-05-23,-0.4975
